url_normalized,count_cursor,count_codex,count_claude,count_total
https://ca.linkedin.com/in/richard-kim-4367814,1,0,0,1
https://ca.linkedin.com/in/richardcloutier,2,0,2,4
https://ca.linkedin.com/in/rob-ward-65b81021,1,0,0,1
https://ca.linkedin.com/in/robert-sarrazin-850b971bb,1,0,0,1
https://ca.linkedin.com/in/sabrina-geremia-028644,1,0,1,2
"https://ca.linkedin.com/in/saxenaankur,https:",1,0,1,2
https://ca.linkedin.com/in/stephen-c-wilson,1,0,0,1
"https://ca.linkedin.com/in/stephen-c-wilson,https:",0,0,1,1
https://ca.linkedin.com/in/wal-van-lierop-7022581,5,5,0,10
https://ch.linkedin.com/in/albert-y-gowen-2755142b,0,0,1,1
https://ch.linkedin.com/in/arijanawalcott,2,0,0,2
https://ch.linkedin.com/in/augusto-bizzini-b0a6343b,1,0,0,1
https://ch.linkedin.com/in/burcu-minas-balta-60043a184,1,0,0,1
https://ch.linkedin.com/in/christopher-quast-63843420a,1,0,0,1
https://ch.linkedin.com/in/claude-usteri-27a78b11,1,0,0,1
https://ch.linkedin.com/in/claudiojordan/en,0,0,1,1
https://ch.linkedin.com/in/dr-igor-t-rusek-047697187,1,0,0,1
https://ch.linkedin.com/in/ericarchambeau,5,5,0,10
https://ch.linkedin.com/in/florian-ducrey-8bb41b,1,0,0,1
https://ch.linkedin.com/in/gina-domanig,6,6,0,12
https://ch.linkedin.com/in/hansjürg-bruderer-b11524,1,0,0,1
https://ch.linkedin.com/in/helgedaebel,6,6,0,12
https://ch.linkedin.com/in/ludovica-david-98050296,1,0,0,1
https://ch.linkedin.com/in/marcellonesta,1,0,0,1
https://ch.linkedin.com/in/matthew-lashmar-7802a51,2,0,0,2
"https://ch.linkedin.com/in/matthew-lashmar-7802a51,https:",1,0,3,4
https://ch.linkedin.com/in/max-spiess-0015a2119,1,0,0,1
https://ch.linkedin.com/in/melchior-de-muralt-b663a834,1,0,0,1
https://ch.linkedin.com/in/mustafa-karadag-924b67b4,1,0,0,1
https://ch.linkedin.com/in/olgapeters,4,0,0,4
https://ch.linkedin.com/in/pbozzo,1,0,0,1
https://ch.linkedin.com/in/stefanmeyerballester,1,0,0,1
https://ch.linkedin.com/in/valerie-soirat-ch,1,0,0,1
https://cl.linkedin.com/in/domingoclaroc,6,6,0,12
"https://cn.linkedin.com/in/anna-fang-a2a07441,https:",0,0,1,1
https://cn.linkedin.com/in/annaaifang,6,6,0,12
"https://cn.linkedin.com/in/cuimiao,https:",0,0,1,1
https://cn.linkedin.com/in/daniel-wu-1728495a,0,0,1,1
"https://cn.linkedin.com/in/hao-wu-537859b7,https:",0,0,1,1
https://cn.linkedin.com/in/jill-chen-aa5a6b54,1,0,0,1
