Name,Website,Type,Parent Company,Country HQ,DT Only?,# DT deals in portfolio,Size of current DT fund(s),Date of current DT fund(s),Pre-seed,Seed,Series A,Series B+,Min ticket,Max ticket,Europe,Israel,USA,Canada,Asia,Worldwide,Other,Aerospace,AI/ML,Electronics,Industry 4.0 / Robotics,Energy,Materials,Healthtech,Biotech,Food & Ag,Cleantech,Mobility,Specific or additional focus,linkedin-private-codex,linkedin-private-claude
BDC Capital,https://www.bdc.ca/fr/bdc-capital,VC,,Canada,No,,$200M,Aug 2025,,,x,x,,,,,,x,,,,,x,x,x,x,,,,x,x,,,,
BeAble Capital,www.beablecapital.com,VC,,Spain,Yes,20+,€35M,"Mar , 2020",x,x,x,,€100K,€3M,x,,,,,,,x,x,x,x,x,x,x,x,x,x,x,Nanotech,,
Beast Ventures,http://www.beast.vc/team/,VC,,UK,Yes,20+,--,--,x,x,,,,,x,,,,,,,,x,x,x,,,,x,x,,,"Media, SaaS",https://www.linkedin.com/in/psikorsky,https://www.linkedin.com/in/psikorsky/
Beaton Zone Venture Partners,https://www.beatenzone.vc/,VC,,Australia,Yes,,$451M,"Jul , 2025",x,x,x,x,,,,,x,,,,Australia,x,,,,,,,,,,,Defense,,
Bedrock Capital,http://www.bedrockcap.com/,VC,,USA,No,,$350M,"May , 2019",,,x,x,,,x,x,x,x,x,x,,,x,,x,,,,,,,x,"Consumer, Enterprise",,
Bee Partners,https://www.beepartners.vc/,VC,,USA,No,,$50M,"Nov , 2023",x,,,,,,,,x,,,,,,x,x,x,,,x,x,x,x,,,"https://www.linkedin.com/in/1craigwarner, https://www.linkedin.com/in/amyvolas, https://www.linkedin.com/in/austingrisham2025, https://www.linkedin.com/in/berolzheimer, https://www.linkedin.com/in/davepitman, https://www.linkedin.com/in/deirdremcg, https://www.linkedin.com/in/garrettgoldberg, https://www.linkedin.com/in/jeddean, https://www.linkedin.com/in/jenn-kendrick-6400b8119, https://www.linkedin.com/in/jocelyne-cooke-2091a025, https://www.linkedin.com/in/joe-inkenbrandt-667a325, https://www.linkedin.com/in/john-coates-74348831, https://www.linkedin.com/in/kiranoodleman, https://www.linkedin.com/in/leo-de-luna-313226, https://www.linkedin.com/in/matthewkellie, https://www.linkedin.com/in/robmay, https://www.linkedin.com/in/rodschultz, https://www.linkedin.com/in/ruddick, https://www.linkedin.com/in/ryan-kelly-b0904642, https://www.linkedin.com/in/shivanitorres, https://www.linkedin.com/in/timsmith, https://www.linkedin.com/in/yury-markovsky",
BEENEXT,https://www.beenext.com/,VC,,Singapore,No,,$40M,"Sep , 2019",,x,,,,,,,,,x,,,,x,,x,,,x,x,x,,x,,,
Belle Michigan Fund,https://www.bellefunds.com,VC,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benhamou Global Ventures (BGV),https://benhamouglobalventures.com,VC,,USA,No,,$110M,"Sep , 2021",,x,x,,,,x,x,x,,India,,,,x,x,x,,,,,,,x,"Cybersecurity, Mobility & IOT, Cloud, B2B",,
Beringea,https://www.beringea.com/,VC,,UK,No,,£64M,"Apr , 2019",,,,,,,x,,x,,,,,,x,,x,,,x,,,x,x,"Consumer, Enterprise, Media","https://www.linkedin.com/in/henry-philipson-270a2068, https://www.linkedin.com/in/kellyodonnell222",
Berkeley SkyDeck Fund,https://skydeck.vc/,Accelerator VC,Berkeley Skydeck,USA,No,40+,--,--,x,x,,,,,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,,,
Bessemer,https://www.bvp.com/about,VC,,USA,No,100+,"$4,6B","Sept, 2022",,x,x,x,,,x,x,x,x,x,x,,x,x,x,x,,,x,x,x,,,"Consumer, enterprise","https://www.linkedin.com/in/byrondeeter, https://www.linkedin.com/in/davidjcowan","https://www.linkedin.com/in/byrondeeter, https://www.linkedin.com/in/davidjcowan"
Betaworks Ventures,https://betaworksventures.com/,VC,,USA,No,,$50M,Aug. 2017,,x,,,$100K,$500K,,,x,,,,,,x,,x,,,x,,,,x,"Consumer, Enterpise",,
Bethnal Green Ventures,https://bethnalgreenventures.com,VC,,UK,No,,--,--,,x,x,,,,x,,,,,,,,x,,,x,,x,,,x,,Tech4Good,,
Better Food Ventures,http://betterfoodventures.com/,VC,,USA,No,,--,--,,x,,,,,,,x,,,,,,x,,x,x,,,,x,x,,Food & Ag related only,,
Better Tomorrow Ventures,https://www.btomorrowv.com,CVC,British American Tobacco,UK,No,,$32M,"Oct , 2019",x,x,,,$500K,,x,x,x,x,x,x,,,x,,,x,,x,x,x,x,,SDGs,,
Better Ventures,https://www.better.vc,VC,,USA,No,20+,$52.9M,"Oct , 2019",x,x,x,x,$500K,,x,,x,,,,,,x,,x,x,,x,x,x,x,,,"https://www.linkedin.com/in/lyndsey-boucherle, https://www.linkedin.com/in/rickmossbv, https://www.linkedin.com/in/wdselke",
Beyond Next Ventures,https://beyondnextventures.com/,VC,,Japan,Yes,60+,$160M,Jul. 1905,X,X,X,,$200K,$2.5M,,,,,X,,"Japan, India",X,X,X,X,X,X,X,X,X,X,X,,,
BGF Ventures,https://www.bgf.co.uk/insights/what-is-venture-capital-and-when-is-it-right-for-your-business/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bharat Innovation Fund,https://bharat.fund/,VC,,India,Yes,5+,$100M,"Jul , 2018",,x,x,,,,,,,,India,,,,x,x,x,,,,x,,,,,,
BHP Ventures,https://www.bhp.com/about/our-businesses/ventures,CVC,,Australia,No,,--,--,,x,,,,,,,,,,,Australia,,,x,,x,x,,,,x,,Mining,,
Big Idea Ventures,https://bigideaventures.com/,Accelerator VC,,USA,Yes,20+,$75M,"Jun , 2023",x,x,x,,$125K,$200K,x,x,x,x,x,x,,,,,,,,,,x,,,Alternative protein only,"https://www.linkedin.com/in/andrewive, https://www.linkedin.com/in/billarnold, https://www.linkedin.com/in/caroline-mak-7473161, https://www.linkedin.com/in/elsaswanson, https://www.linkedin.com/in/emilylinett, https://www.linkedin.com/in/frank-klemens-2502672, https://www.linkedin.com/in/henriettahearth, https://www.linkedin.com/in/oscar-hellier-86b9a21b5, https://www.linkedin.com/in/tom-mastrobuoni, https://www.linkedin.com/in/van-n-truskett",
Big Pi Ventures,https://bigpi.vc/,VC,,Greece,No,7+,$50M,"Feb,2023",,x,,,,,Greece,,,,,,,,x,x,x,,x,x,x,,,,"analytics/databases, IoT, hardware, health and materials",,
Bioeconomy Capital,http://www.bioeconomycapital.com,VC,,USA,Yes,10+,--,--,,x,x,,,,,,x,,,,,,,,,,x,x,x,x,,,,,
Biogeneration Ventures,https://www.biogenerationventures.com/fund/,VC,,Netherlands,Yes,20+,€82M,"Oct , 2017",,x,x,,,,Netherlands,,,,,,,,,,,,,x,x,,,,,https://www.linkedin.com/in/danielacouto,https://www.linkedin.com/in/danielacouto
BioMed Partners,https://biomedvc.com/en/,VC,,Switzerland,Yes,50+,CHF100M,"Mar , 2018",,,x,x,,CHF10M,x,,,,,,,,,,,,,x,x,,,,,,
Bionova,https://bionovacapital.com/,VC,,Portugal,Yes,5+,--,--,,x,,,,,x,,,,,,,,,,,,,x,x,,,,,,
Bioqube Ventures,https://www.bioqubeventures.com/,VC,,Belgium,Yes,5+,,"June, 2020",,x,x,,,,x,,x,,,,,,,,,,,x,x,,,,,,
Bioverge,https://bioverge.com/,Crowdfunding,,USA,Yes,--,--,--,x,x,,,,,,,x,,,,,,,,,,,x,x,,,,,,
Bits x Bites,http://www.bitsxbites.com/,VC,,China,Yes,10+,--,--,,,x,,,,x,x,x,x,x,x,,,,,,,,,x,x,,,,,
Black Bay Energy Capital,https://www.blackbayenergy.com,VC,,USA,No,,$210M,"May , 2022",,,,x,,$30M,,,x,,,,,,,,,x,,,,,,,,,
Black Pearls,http://blackpearls.vc/,VC,,Poland,Yes,20+,--,--,,x,x,,,,x,,,,,,,x,x,,x,,,x,x,x,,,Enterprise software,,
Blackberry IVY Innovation Fund,https://betakit.com/blackberry-launches-50-million-fund-to-work-with-autotech-startups/,CVC,Blackberry,Canada,Yes,,,,x,x,x,x,,,,,,,,,,,x,,x,,,,,,,x,,,
Blackbird Ventures,https://blackbird.vc/,VC,,Australia,No,,A$261M,"Jul , 2018",,x,x,x,,,,,,,,,"Australia, NZ",x,x,x,x,,,x,x,,,,"Consumer, Enterpise",,
Blackhorn Ventures,https://blackhornvc.com/,VC,,USA,No,60+,$150M,"Jun , 2024",,,x,x,,,,,x,,,,,,x,,x,x,,x,,x,x,x,,,
Blindspot Ventures,https://www.blindspot.vc/,VC,,USA,No,5+,--,--,,x,x,x,,,x,x,x,x,x,x,,,x,,x,x,,x,x,,,x,,,
Bloc Ventures,https://blocventures.com/pitching/,VC,,UK,Yes,"Jan , 1900",£20M,"Jul , 1905",,X,X,,£500K,£3.5M,X,X,,,,,,,X,X,X,,,,,,,,,,
Bloomberg Beta,https://www.bloomberg.com/company/beta/,VC,,USA,No,,--,--,,x,x,,,,x,x,x,x,x,x,,,x,,,,,,,,,,Enterprise,,
Blossom Capital,https://www.blossomcap.com/,VC,,UK,No,,$185M,"Jan , 2020",,,x,,,,x,,,,,,,,x,,,,,,,,,,"Media, Consumer, Enterprise","https://www.linkedin.com/in/ighory, https://www.linkedin.com/in/ksenia-kokareva-4354041, https://www.linkedin.com/in/marianne-b-30151035, https://www.linkedin.com/in/mfrenkel, https://www.linkedin.com/in/nick-hayes-blossom, https://www.linkedin.com/in/opheliabrown","https://www.linkedin.com/in/ighory, https://www.linkedin.com/in/ksenia-kokareva-4354041, https://www.linkedin.com/in/marianne-b-30151035, https://www.linkedin.com/in/mfrenkel, https://www.linkedin.com/in/nick-hayes-blossom"
Blue Bear Capital,https://bluebearcap.com,VC,,USA,No,"Dec , 1899",,,,x,x,x,,,x,,x,,,,,,x,,x,x,,,,,x,,,,
Blue Bear Ventures,https://bbv.io/,VC,,USA,Yes,10+,--,--,,x,,,,,,,x,,,,,,x,x,x,x,x,x,x,x,x,x,University-research oriented,"https://www.linkedin.com/in/alicchen, https://www.linkedin.com/in/deepaksgupta, https://www.linkedin.com/in/irfan-vissandjee, https://www.linkedin.com/in/linda-maduwura-cpa-5b8b1a3, https://www.linkedin.com/in/marianneabibpech, https://www.linkedin.com/in/patrickscaglia",
Blue Delta Capital Partners,https://bluedeltacapitalpartners.com,VC,,USA,No,--,$150M,"Jul , 2019",,,x,x,,,,,x,,,,,,x,,,,,,,,,,,,
Blue Earth Ventures,https://blueearthsummit.com/ventures,VC,,UK,no,,£2M,Sep 2025,x,x,,,,,x,,x,,,,,,,,,x,,,,,x,,,,
Blue Horizon,https://bluehorizon.com/,VC,,Switzerland,No,,--,--,,,x,,,,x,x,x,,,,,,,,,,,,,x,,,,,
Blue InCube,https://www.blueincube.com/,VC,,Singapore,No,,,,X,X,,,,,X,,,,X,,,,X,,,,X,X,X,X,X,,,,
Blue Ocean Fund,https://www.blueoceanspartners.com/,VC,SWEN Capital Partners,France,No,1-5,€170M,"Mar , 2023",,x,x,,,,x,,,,x,,,,x,,,,,,,x,x,,Oceantech only,,
BlueIO,https://www.blueio.co,VC,,USA,No,"Jan , 1900",,,,x,x,x,,,,,x,,,,,,x,,,,,x,x,x,x,,,,
BlueOcean Ventures,https://blueocean-ventures.com/,VC,,Switzerland,Yes,10+,--,--,,x,x,x,,,X,,,,,,,,,,,,,x,x,,,,,,
BlueYard,http://blueyard.com/,VC,,Germany,Yes,20+,$185M,"Jun , 2022",,x,x,,$500K,$5M,x,,x,,,,,,x,x,x,x,,x,,x,x,,"Blockchain, Crypto","https://www.linkedin.com/in/alejo-salles-1157b6192, https://www.linkedin.com/in/christine-fuchs1981, https://www.linkedin.com/in/ciaranoleary, https://www.linkedin.com/in/cristeljanemayer, https://www.linkedin.com/in/davidmbyrd, https://www.linkedin.com/in/evosofttim, https://www.linkedin.com/in/fowlerchad, https://www.linkedin.com/in/jasonwhitmire, https://www.linkedin.com/in/jonah-anders-kaplan-60882b78, https://www.linkedin.com/in/lucille-s-259b86231, https://www.linkedin.com/in/lukas-h%C3%A4nle-871434108, https://www.linkedin.com/in/mark-storey-cpa-008199151, https://www.linkedin.com/in/mikewax, https://www.linkedin.com/in/mollythessin, https://www.linkedin.com/in/petermread, https://www.linkedin.com/in/philipp-banhardt-24646834, https://www.linkedin.com/in/yenilee-i%C4%8Dagi%C4%87-9a3b8ab3",
Blumberg Capital,https://www.blumbergcapital.com/,VC,,USA,No,,$200M,"Mar , 2017",,x,x,,$500K,$5M,,x,x,,,,,,x,,x,,,x,,,,x,Enterprise,,
Blume Equity,https://blumeequity.com/,VC,,EU,No,,€200M,Jul 2024,,,,X,€5M,€50M,X,,,,,,,,,,X,X,,,,X,X,X,,,
BMW i Ventures,https://www.bmwiventures.com/,CVC,BMW,USA,No,,€300M,"Jun , 2021",,x,x,x,,,x,x,x,x,x,x,,,x,x,x,,,,,,,x,,https://www.linkedin.com/in/scottwalbrun,https://www.linkedin.com/in/scottwalbrun
Boehringer Ingelheim Venture,https://www.boehringer-ingelheim-venture.com/,CVC,Boehringer Ingelheim,Germany,Yes,30+,$250M,"Jan , 2018",,x,x,x,,,x,,,,,,,,,,,,,x,x,,,,,,
Boeing HorizonX,http://www.boeing.com/company/key-orgs/horizon-x/,CVC,"Boeing, AE Industrial",USA,Yes,30+,$250M,"Jul, 2022",,x,x,x,,,x,x,x,x,x,x,,x,x,x,x,x,x,,,,,,,,
Boğaziçi Ventures,https://www.bogaziciventures.com/,VC,,Turkey,No,,--,--,,x,,,,,Turkey & MENA,,,,,,,,x,,,,,x,,,,,"Enterprise, Fintech",,
BOKA Group,https://www.boka-group.com/,Permanent Capital Company,,USA,Yes,,,,,,,X,$10M,$50M,X,,X,,,,,X,X,,,,,,,,,,,,
BOLD - L'OREAL,https://www.loreal-finance.com/eng/news-release/loreal-creates-corporate-venture-capital-fund-dedicated-accompanying-innovative,CVC,L'Oréal,France,No,,--,--,,x,x,,,,x,,,,,,,,x,,,,,,,,,,Beauty & Cosmetics,,
Bold Capital Partners,https://www.boldcapitalpartners.com/,VC,,USA,Yes,40+,--,--,,x,x,x,,,,,x,,,,,x,x,x,x,,,x,,x,,x,,,
BOLDstart Ventures,https://www.boldstart.vc/,VC,,USA,No,,$250M,Jul. 2025,x,x,x,,,,,x,x,,,,,,x,x,,,,,,,,,Enterprise,https://www.linkedin.com/in/edsim,https://www.linkedin.com/in/edsim
Bolt,https://bolt.io/team/,VC,,USA,No,,$80M,"May , 2017",x,x,,,$200k,$1.5M,,,,,,,,x,x,x,x,,,x,,,,,Hardware/Software Tech,"https://www.linkedin.com/in/axelbichara, https://www.linkedin.com/in/greg-mcadoo-bb912","https://www.linkedin.com/in/axelbichara/, https://www.linkedin.com/in/greg-mcadoo-bb912/"
Boom Capital Ventures,https://www.boomcap.co,VC,,USA,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boost VC,https://www.boost.vc/,VC,,USA,No,,$38.6M,"Feb , 2017",,x,,,,$500K,x,x,x,x,x,x,,x,x,x,x,,,,x,,x,,"Crypto, AR/VR","https://www.linkedin.com/in/adraper, https://www.linkedin.com/in/braytonwilliams, https://www.linkedin.com/in/derek--brown, https://www.linkedin.com/in/emily-m-yu, https://www.linkedin.com/in/gus-domel, https://www.linkedin.com/in/maddiecallander, https://www.linkedin.com/in/pattondanielle, https://www.linkedin.com/in/troy-kanji",
Bootstrap Europe,https://bootstrapeurope.com,VC,,Luxembourg,No,"Jan , 1900",€150M,,,,X,X,€1M,€15M,X,,,,,,,X,X,X,X,X,X,X,X,X,X,X,,,
Bootstrap Labs,https://bootstraplabs.com,VC,,,No,4,,,,x,x,x,,,,,,,,,,,x,,,x,,x,,,x,x,,,
Borski Fund,https://borskifund.com/?lang=en,VC,,Netherlands,No,,€21M,Nov. 2019,,x,x,,,,Netherlands,,,,,,,,x,,,,,x,,x,,,Women-led,,
Bosch Ventures,http://www.rbvc.com/,CVC,Bosch,Germany,No,,€250M,"May , 2022",,x,x,x,€500K,€5M,x,x,x,,China,,,,x,x,x,x,,x,,,,x,,,
Boundary Capital,https://www.boundarycapital.com/,VC,,UK,Yes,10+,--,--,,,x,x,,,x,,,,,,,,x,x,x,,x,x,x,,,,SaaS,,
Bouygues Developpement,http://bouyguesdev.fr/,CVC,Bouygues,France,No,,--,--,,x,x,x,€100K,€1M,x,,,,,,,,x,x,x,x,x,,,,x,x,,,
Box Group,https://boxgroup.com/,VC,,USA,No,20+,$165M,"Oct , 2019",x,x,x,,$250K,$750K,,,x,,,,,,x,,x,x,,x,x,x,x,,,,
BoxGroup,http://www.boxgroup.com/,VC,,USA,No,20+,$127.5M,"Aug , 2021",x,x,x,,$250K,$1M,x,x,x,x,x,x,,,x,,,x,,x,x,,x,,,,
BP Ventures,https://www.bp.com/en/global/bp-ventures.html,CVC,BP,UK,No,,$10M,"Jul , 2018",,x,x,x,,,x,x,x,x,x,x,,,x,x,x,x,x,,,,x,,,,
Bpifrance,https://www.bpifrance.com/,CVC,France,France,No,,€1.6B,"Mar , 2020",,x,x,x,$100K,$10M,France,,,,,,,x,x,x,x,x,x,x,x,x,x,x,Generalist,,
Braemar Energy Ventures,http://www.braemarenergy.com/,VC,,USA,No,30+,$300M,"Jun , 2012",,,x,x,,,,,x,,,,,,,,x,x,,,,,x,x,,,
Brain Robotics Capital,http://www.brainrobotcap.com/,VC,,USA,Yes,,--,--,,x,x,,,,,,x,,,,,x,x,x,x,x,x,x,x,,x,x,,,
Bread and Butter Ventures,https://www.breadandbutterventures.com/,VC,,USA,No,5+,$40M,"Mar , 2025",,x,x,x,,,,,x,,,,,,x,,,,,x,x,x,,,,,
Break Off,www.breakoff.com,VC,,UK,Yes,10+,--,--,x,x,x,x,$100K,$1M,x,x,x,x,x,x,,x,x,,x,x,x,x,x,x,x,,,,
Breakout Ventures,http://breakout.vc/,VC,,USA,Yes,10+,$112.5M,"Dec , 2021",,x,x,x,,$5M,,,x,x,,,,,,,,x,x,x,x,x,x,,Breakout Labs for seed,,
Breakthrough Energy Ventures,http://www.b-t.energy/ventures/team/,VC,,USA,Yes,20+,$839M,Sept 2024,x,x,x,x,,,x,x,x,x,x,x,,,,,,x,,,,x,x,x,Construction,,
Breed Reply,https://www.reply.com/breed-reply/en/,CVC,Reply,UK,No,,--,--,,x,x,,,,x,,,,,,,,x,x,x,,,x,,x,,,IoT,,
Breega,https://www.breega.com/,VC,,France,No,,€150M,"Oct , 2023",,x,,,,,x,,,,,,,,x,,,,x,,,x,,,"Blockchain, Fintech, Adtech",,
Breyer Capital,https://breyercapital.com/,VC,,USA,No,,--,--,x,x,x,,,,x,x,x,x,"China, India",x,,,x,,,,,x,,,,,"Media, Data, Fintech","https://www.linkedin.com/in/jim-breyer-361900b2, https://www.linkedin.com/in/danielbreyer","https://www.linkedin.com/in/jim-breyer-361900b2, https://www.linkedin.com/in/danielbreyer"
Brick & Mortar Ventures,http://brickmortar.vc/,VC,,USA,No,10+,$97M,"Aug , 2019",,x,x,x,,,x,x,x,x,x,x,,,x,,x,,,,,,,,Construction,,
Bright Edge,https://brightedgefund.org/,VC,,USA,Yes,5+,,,,x,x,x,,,,x,x,,,,,,,,,,,x,x,,,,Oncology only,,
Brightlands Venture Partners,https://brightlandsventurepartners.com/,VC,,Netherlands,Yes,20+,€45M,"Apr , 2021",,x,x,,€500K,€2M,x,,,,,,,,,,,,x,x,x,x,,,,,
BrightPixel,https://brpx.com/,VC,,Portugal,No,"Jan , 1900","€7,6M",--,,x,x,,,,Portugal,,,,,,,,x,,,,,,,,,,"Cybersecurity, ML, AR/VR, Big Data, Blockchain",,
Brightstone Venture Capital,http://brightstonevc.com/,VC,,USA,No,25+,$100M,"Aug , 2017",,x,x,,$1M,$10M,,,x,,,,,,x,x,x,,x,x,x,,,,,"https://www.linkedin.com/in/daviddalvey, https://www.linkedin.com/in/jeffreydcowan",
Brigus Capital,http://briguscapital.com/,VC,,Canada,Yes,5+,--,--,,x,,,,,,,,x,,,,,,x,x,,,x,x,,,,,,
Brillance Ventures,http://www.brillianceventures.com/,VC,,Israel,No,,€18.5M,May. 2020,,,,x,,,,x,,,,,,x,x,x,x,,,,,,,x,,,
Britbots,https://www.britbots.com,VC,,UK,Yes,,--,--,,x,x,,,,UK,,,,,,,,,,x,x,,,,x,x,,,,
Britbots Crowd,https://britbots.envestry.com/,Crowdfunding,,UK,Yes,"Jan , 1900",--,--,x,x,,,,,UK,,,,,,,,,,x,,,,,,,,Robotics only,,
Broadview Ventures,https://broadviewventures.org/,VC,,USA,No,5+,--,--,,x,x,x,,,x,,x,,,,,,,,,,,x,x,,,,"Therapeutic, diagnostics and medical devices",,
BtoV,https://btov.vc,VC,,Germany,No,,€100M,"Feb , 2019",,x,x,x,€250K,€10M,x,,,,,,,,x,x,x,,,x,x,,x,,"Cybersecurity, Enterprise software","https://www.linkedin.com/in/beate-fastrich-b2b15980, https://www.linkedin.com/in/danielgutenberg, https://www.linkedin.com/in/gwendolyn-schr%C3%B6ter-96b69a107, https://www.linkedin.com/in/holger-hengstler-675a9658, https://www.linkedin.com/in/joachim-drees-23a2762, https://www.linkedin.com/in/joachim-schoss-3866a999, https://www.linkedin.com/in/luismartincabiedes, https://www.linkedin.com/in/martinenderle, https://www.linkedin.com/in/michael-hinderer-1048b3144, https://www.linkedin.com/in/nic-herzog, https://www.linkedin.com/in/philipp-schrempp, https://www.linkedin.com/in/phyllis-studerus-06177011b, https://www.linkedin.com/in/reinermauch, https://www.linkedin.com/in/sinaafra, https://www.linkedin.com/in/stefanloacker, https://www.linkedin.com/in/tobiasschuele, https://www.linkedin.com/in/tocoppens, https://www.linkedin.com/in/verenapausder, https://www.linkedin.com/in/viktoriyatigipko, https://www.linkedin.com/in/xaverlehmann",
Building Ventures,https://buildingventures.com/,VC,,USA,No,10+,$95M,"Sept,2022",,x,x,x,,,,,x,,,,,,x,,x,x,,,,,,,Built Environment,,
Bullnet,https://bullnetcapital.com/,VC,,Spain,Yes,,€80M,Nov 2024,,x,x,x,€1M,€1.5M,Spain,,,,,,,,x,x,x,,,x,,,,,,,
Buoyant Ventures,https://www.buoyant.vc/,VC,,USA,No,1-5,$76M,"Feb, 2023",,x,x,,,,,,x,x,,,,,,,x,x,,,,x,x,x,Only digital Solutions for Climate Risk,"https://www.linkedin.com/in/alex-behar-43701622, https://www.linkedin.com/in/amy-francetic, https://www.linkedin.com/in/joanna-t-225733188, https://www.linkedin.com/in/laura-dyer-cpa, https://www.linkedin.com/in/lori-deluca-cpa-231636122","https://www.linkedin.com/in/alex-behar-43701622/, https://www.linkedin.com/in/amy-francetic/, https://www.linkedin.com/in/joanna-t-225733188/, https://www.linkedin.com/in/laura-dyer-cpa/, https://www.linkedin.com/in/lori-deluca-cpa-231636122/"
Burnt Island Ventures,https://www.burntislandventures.com/,VC,,USA,No,5+,,,x,x,,,,$4M,,,x,,,,,,,,,,,,,,x,,Water sector,,
Butterfly VC,https://butterfly.vc/about-us/,VC,,Finland,Yes,50+,€47M,Jun. 2022,x,x,,,,,x,,,,,,,,x,x,x,x,x,,,,x,x,,,
ByFounders,https://byfounders.vc/,VC,,Denmark,No,,€100M,"Apr , 2019",,x,,,,,x,,,,,,,,x,,x,,,,,x,,,Consumer,"https://www.linkedin.com/in/casper-nicolai-bjarnason-556916126, https://www.linkedin.com/in/cecilie-hoff, https://www.linkedin.com/in/elagier, https://www.linkedin.com/in/frans-nilsson, https://www.linkedin.com/in/jacob-busck-andersen-262b2657, https://www.linkedin.com/in/line-ettrich-394768158, https://www.linkedin.com/in/magnushambleton, https://www.linkedin.com/in/martinkrag, https://www.linkedin.com/in/nathaniel-stummann, https://www.linkedin.com/in/peikberg, https://www.linkedin.com/in/sararywe, https://www.linkedin.com/in/tommyandersendk, https://www.linkedin.com/in/tovapilblad, https://www.linkedin.com/in/ugne-musneckyte",
C2 ventures,https://www.c2ventures.co/,VC,,USA,No,10+,$20M,Jul. 2022,x,x,,,,,x,,x,x,x,,,,x,x,x,,,,,,x,x,,,
C4 Ventures,https://c4v.com/home/,VC,,UK,No,,€100M,Sep. 2025,x,x,x,,,,x,,,,,,,,x,x,x,,x,,,,,,"Smart Hardware, Future of Commerce, Digital Media","https://www.linkedin.com/in/borisbakech, https://www.linkedin.com/in/ericboustouller, https://www.linkedin.com/in/jean-weill, https://www.linkedin.com/in/leda-interlandi, https://www.linkedin.com/in/lidia-sutormina, https://www.linkedin.com/in/mathieubourdie, https://www.linkedin.com/in/olivierlegoff, https://www.linkedin.com/in/pascalcagni, https://www.linkedin.com/in/sassanomichel, https://www.linkedin.com/in/valererames","https://www.linkedin.com/in/borisbakech, https://www.linkedin.com/in/ericboustouller, https://www.linkedin.com/in/jean-weill, https://www.linkedin.com/in/leda-interlandi, https://www.linkedin.com/in/lidia-sutormina"
C5 Capital,http://www.c5capital.com/,VC,,USA,No,,--,--,,,x,x,,,x,x,x,x,x,x,,x,x,,,x,,,,,,,,,
Caixa Capital Risc,http://www.caixacapitalrisc.es/en/,CVC,Caixa,Spain,No,,€70M,--,,x,x,x,€500k,€2m,x,,,,,,,,x,x,x,x,,,x,,x,x,"Internet, SaaS",,
Calculus Capital,https://www.calculuscapital.com/,VC,,UK,No,--,--,--,,x,x,x,£500K,£5M,UK,,,,,,,x,x,x,x,x,x,x,x,x,x,x,,,
Calibrate Ventures,http://www.calibratevc.com/,VC,,USA,No,4,$97M,"Dec , 2021",,x,x,x,,,,,x,,,,,,x,,x,,,,,,,,,,
Calm/Storm Ventures,calmstorm.vc,VC,,Austria,No,,--,--,x,x,,,$100K,$500K,x,,x,x,,,,,,,,x,x,x,x,,x,,,,
Calyseed,https://www.linkedin.com/company/calyseed/?viewAsMember=true,Seed Investor,,France,Yes,,,,X,X,,,€100K,€125K,,,,,,,France,,,,,,,X,X,,,,,https://www.linkedin.com/pub/dir,
Cambridge Angels,https://cambridgeangels.com/aboutus/,BA,Cambridge,UK,No,,--,--,,x,x,,£50K,£500K,x,,,,,,,,x,x,x,,x,x,,x,x,,Data,,
Cambridge Innovation Capital,https://www.cicplc.co.uk/,VC,,UK,Yes,20+,£266M,"Apr , 2022",,x,x,x,,,x,,,,,,,,x,x,x,,,x,x,,,,,"https://www.linkedin.com/in/andrewwilliamson, https://www.linkedin.com/in/michael-anstey-24a239, https://www.linkedin.com/in/ianjauncey, https://www.linkedin.com/in/philipwinter1","https://www.linkedin.com/in/andrewwilliamson, https://www.linkedin.com/in/michael-anstey-24a239, https://www.linkedin.com/in/ianjauncey, https://www.linkedin.com/in/philipwinter1"
Canaan Partners,https://www.canaan.com/,VC,,USA,No,,$800M,"Jul , 2017",,x,x,x,,,x,,x,,,,,,x,,,,,x,x,,,,"Fintech, enterprise/cloud, marketplaces",,
Cantos Ventures,http://cantos.vc,VC,,USA,Yes,30+,$50M,Sept 2022,x,x,x,x,$400K,,,,x,,,,,x,x,,x,x,x,x,x,,x,x,,,
Cap Horn,https://caphorn.vc/,VC,,France,No,,€132M,"Oct , 2017",,,x,x,€2M,€20M,France,,,,,,,,x,,,,,,,,,,B2B,,
Capagro,https://capagro.fr/,VC,,France,No,,€115M,Nov 2024,,,X,X,€2M,€6M,X,X,X,X,,,,,,,X,,,,,X,X,,Stronger focus on French startups,,
Capella Partners,http://www.capella-partners.com/,VC,,USA,Yes,10+,--,--,,x,x,x,,,x,x,x,x,x,x,,x,x,x,x,x,x,,x,x,x,x,,"https://www.linkedin.com/in/danielkaftori, https://www.linkedin.com/in/jonathan-lang-phd, https://www.linkedin.com/in/jourdanurbach, https://www.linkedin.com/in/michael-austin-318871, https://www.linkedin.com/in/mustafa-dafalla-51a5944, https://www.linkedin.com/in/romikadri",
