id,firstname,lastname,contactType,jobTitle,description,favoriteUrl,urls,favoriteAddress,addresses,companies,nbInteractions,groups,createdAt,createdBy,addedToGroupAt,addedToGroupBy,Country,investment,linkedin-private-codex,linkedin-private-claude
6b60ccb8-7657-48c9-8bc0-41b96b7c4eb2,Benjamin,L.,person,Investment A/Director,,https://www.linkedin.com/in/benjamin-l-35971859,https://www.linkedin.com/in/benjamin-l-35971859,,,SGInnovate,0,"Data Investors In Asia ,Gen AI Investors In Asia",2026-02-15T20:35:05.477Z,Mirza Asceric,2026-02-15T20:38:23.560Z,Mirza Asceric,Singapore,9,https://www.linkedin.com/in/benjamin-l-35971859,https://www.linkedin.com/in/benjamin-l-35971859
6bb45bc3-f5c7-47d3-8b40-11ec07df992c,Shuyin,Tang,person,Partner,,https://www.linkedin.com/in/shuyin-tang-2a56054b,https://www.linkedin.com/in/shuyin-tang-2a56054b,,,Patamar Capital,0,Gen AI Investors In Asia,2026-02-15T20:38:20.794Z,Mirza Asceric,2026-02-15T20:38:20.794Z,Mirza Asceric,Vietnam,5,https://www.linkedin.com/in/shuyin-tang-2a56054b,https://www.linkedin.com/in/shuyin-tang-2a56054b
6cb8bbaa-0d7d-4817-b4a1-9a2397e75e8b,Aryo,Ariotedjo,person,Co-founder,,https://www.linkedin.com/in/aryo-ariotedjo-09a66142,https://www.linkedin.com/in/aryo-ariotedjo-09a66142,,,Kedai Mie & Kopi Tjap 1000 Tahun (PT Sukses Bersama SeribuTahun),0,Gen AI Investors In Asia,2026-02-15T20:38:20.794Z,Mirza Asceric,2026-02-15T20:38:20.794Z,Mirza Asceric,Indonesia,5,https://www.linkedin.com/in/aryo-ariotedjo-09a66142,https://www.linkedin.com/in/aryo-ariotedjo-09a66142
7043f2c0-68bc-404a-8e72-f63f53a3e689,Seemant,Jauhari,person,Partner Healthcare,,https://www.linkedin.com/in/seemantjauhari,https://www.linkedin.com/in/seemantjauhari,,,HealthXCapital,0,Gen AI Investors In Asia,2026-02-15T20:38:20.794Z,Mirza Asceric,2026-02-15T20:38:20.794Z,Mirza Asceric,Singapore,3,https://www.linkedin.com/in/seemantjauhari,https://www.linkedin.com/in/seemantjauhari
71cf3677-6d37-435e-9a40-ef3be6770b28,Henry,Y.,person,VC,,https://www.linkedin.com/in/henryonline,https://www.linkedin.com/in/henryonline,,,Ai Ventures,0,Gen AI Investors In Asia,2026-02-15T20:38:20.794Z,Mirza Asceric,2026-02-15T20:38:20.794Z,Mirza Asceric,China,3,https://www.linkedin.com/in/henryonline,https://www.linkedin.com/in/henryonline
724074d4-d6d5-4037-9194-2d7390262460,Alton,Viegas,person,Chief Financial Officer,,https://www.linkedin.com/in/altonviegas,https://www.linkedin.com/in/altonviegas,,,Quick Heal,0,Gen AI Investors In Asia,2026-02-15T20:38:22.995Z,Mirza Asceric,2026-02-15T20:38:22.995Z,Mirza Asceric,India,5,https://www.linkedin.com/in/altonviegas,https://www.linkedin.com/in/altonviegas
72cb1217-a060-4003-8c62-213f7a0de0a6,Prashant,Malik,person,Founder and General Partner,"Angel investor, Entrepreneur, Advisor, Technologist. + Angel investor, Entrepreneur, Advisor, Technologist.",https://www.linkedin.com/in/prmalik,https://www.linkedin.com/in/prmalik,,,Tykhe Block Ventures,0,"Data Investors In Asia ,Gen AI Investors In Asia",2026-02-15T20:35:05.477Z,Mirza Asceric,2026-02-15T20:38:23.147Z,Mirza Asceric,India,14,https://www.linkedin.com/in/prmalik,https://www.linkedin.com/in/prmalik
72dfe25c-d0af-48fe-a7ae-0ae3473e1d64,Rajesh,Mane,person,Founding Member & Partner,"Investor, Founding Member & VP at Venture Catalysts",https://www.linkedin.com/in/rajeshmane,https://www.linkedin.com/in/rajeshmane,,,Venture Catalysts,0,Gen AI Investors In Asia,2026-02-15T20:38:22.995Z,Mirza Asceric,2026-02-15T20:38:22.995Z,Mirza Asceric,India,22,https://www.linkedin.com/in/rajeshmane,https://www.linkedin.com/in/rajeshmane
731571df-304d-41b6-b886-68047a866d9b,Akihiko,Okamoto,person,Partner,,https://www.linkedin.com/in/akioka,https://www.linkedin.com/in/akioka,,,Headline - Asia,0,"Data Investors In Asia ,Gen AI Investors In Asia",2026-02-15T20:35:05.477Z,Mirza Asceric,2026-02-15T20:38:23.698Z,Mirza Asceric,Japan,54,https://www.linkedin.com/in/akioka,https://www.linkedin.com/in/akioka
7395f160-cfaf-4701-9b3f-61bec96a742f,Atsushi,Mizuno,person,Senior Advisor,,https://www.linkedin.com/in/atsushi-mizuno-2166193,https://www.linkedin.com/in/atsushi-mizuno-2166193,,,,0,Gen AI Investors In Asia,2026-02-15T20:38:22.995Z,Mirza Asceric,2026-02-15T20:38:22.995Z,Mirza Asceric,Japan,5,https://www.linkedin.com/in/atsushi-mizuno-2166193,https://www.linkedin.com/in/atsushi-mizuno-2166193
73c67d3d-952b-4365-9b1f-57ba4c754d2c,Jonathan,Weins,person,CEO & Co-Founder,,https://www.linkedin.com/in/jonathanweins,https://www.linkedin.com/in/jonathanweins,,,Pop Meals,0,Gen AI Investors In Asia,2026-02-15T20:38:20.794Z,Mirza Asceric,2026-02-15T20:38:20.794Z,Mirza Asceric,Malaysia,1,https://www.linkedin.com/in/jonathanweins,https://www.linkedin.com/in/jonathanweins
74536288-a3ea-49cc-b288-4591509b826e,Vijay,Amritraj,person,Managing Partner,Entrepreneur I Tech Investor | M&A + Entrepreneur I Tech Investor | M&A,https://www.linkedin.com/in/vjamritraj,https://www.linkedin.com/in/vjamritraj,,,Voilà F9 Gourmet,0,"Data Investors In Asia ,Gen AI Investors In Asia",2026-02-15T20:35:05.477Z,Mirza Asceric,2026-02-15T20:38:23.377Z,Mirza Asceric,India,11,https://www.linkedin.com/in/vjamritraj,https://www.linkedin.com/in/vjamritraj
74574eae-6299-40f6-86d8-14567b804b3d,Yasu,Mimura,person,スタートアップ投資統括執行役員,,https://www.linkedin.com/in/yasu-mimura-三村泰弘-aab1a310,https://www.linkedin.com/in/yasu-mimura-三村泰弘-aab1a310,,,エッグフォワード株式会社,0,Gen AI Investors In Asia,2026-02-15T20:38:20.794Z,Mirza Asceric,2026-02-15T20:38:20.794Z,Mirza Asceric,Japan,13,https://www.linkedin.com/in/yasu-mimura-三村泰弘-aab1a310,https://www.linkedin.com/in/yasu-mimura-
74d4b093-95a3-40db-923f-6dfd4b351813,William,M.,person,Investor,,https://www.linkedin.com/in/william-m-35494720,https://www.linkedin.com/in/william-m-35494720,,,DBM Cloud Systems,0,Gen AI Investors In Asia,2026-02-15T20:38:22.995Z,Mirza Asceric,2026-02-15T20:38:22.995Z,Mirza Asceric,Hong Kong SAR,12,https://www.linkedin.com/in/william-m-35494720,https://www.linkedin.com/in/william-m-35494720
75e15808-e315-485e-afa7-b1c4b9dfe1fe,Faisal,Nasimuddin,person,Advisor,,https://www.linkedin.com/in/faisalnasimuddin,https://www.linkedin.com/in/faisalnasimuddin,,,Naza Corporation Holdings Sdn. Bhd,0,Gen AI Investors In Asia,2026-02-15T20:38:20.794Z,Mirza Asceric,2026-02-15T20:38:20.794Z,Mirza Asceric,Malaysia,3,https://www.linkedin.com/in/faisalnasimuddin,https://www.linkedin.com/in/faisalnasimuddin
7888c987-d4e4-4654-b6d4-cec5140eaa4e,Kiyan,Foroughi,person,CEO & Co-Founder,,https://www.linkedin.com/in/kiyanforoughi,https://www.linkedin.com/in/kiyanforoughi,,,Electric8,0,Gen AI Investors In Asia,2026-02-15T20:38:22.995Z,Mirza Asceric,2026-02-15T20:38:22.995Z,Mirza Asceric,Singapore,2,https://www.linkedin.com/in/kiyanforoughi,https://www.linkedin.com/in/kiyanforoughi
78c5fde5-540a-4c26-9ac5-c52f4abc66c9,Curt,Shi,person,Investor,,https://www.linkedin.com/in/sk8er,https://www.linkedin.com/in/sk8er,,,TrueState,0,"Data Investors In Asia ,Gen AI Investors In Asia",2026-02-15T20:35:05.477Z,Mirza Asceric,2026-02-15T20:38:25.453Z,Mirza Asceric,China,19,https://www.linkedin.com/in/sk8er,https://www.linkedin.com/in/sk8er
