id,name,contactType,favoriteEmail,description,emails,favoriteUrl,urls,favoriteAddress,addresses,groups,createdAt,createdBy,addedToGroupAt,addedToGroupBy,Countries of Investment,Stage of Investment,linkedin-private-codex,linkedin-private-claude
b5804195-3c5f-4d16-ac13-ca985492f55a,Odey Asset Management,company,,,,https://www.odey.com/,https://www.odey.com/,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:02.297Z,Mirza Asceric,2026-02-15T20:29:02.657Z,Mirza Asceric,"USA,Israel,Canada,UK",,,
2966da08-7083-4c86-b7a8-53b37e3c46fe,Ombu,company,,,,http://www.ombugroup.com/,http://www.ombugroup.com/,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:02.297Z,Mirza Asceric,2026-02-15T20:29:02.657Z,Mirza Asceric,"USA,Canada,UK",3. Early Revenue,,
ce8317f8-5b8e-4e80-bb71-a3d816541627,Optum Ventures by UHG,company,,,,https://www.optumventures.com/,https://www.optumventures.com/,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:02.297Z,Mirza Asceric,2026-02-15T20:29:02.657Z,Mirza Asceric,"USA,Israel,Canada,UK",3. Early Revenue,"https://www.linkedin.com/in/abigail-bolton-, https://www.linkedin.com/in/austinmartin01, https://www.linkedin.com/in/bailey-summerfield-558228131, https://www.linkedin.com/in/brian-lafond-7745baa0, https://www.linkedin.com/in/courtney-good-73b94a127, https://www.linkedin.com/in/dean-mccausland-1a7b993, https://www.linkedin.com/in/eliza-loring-mcginn-6a462b76, https://www.linkedin.com/in/elizabeth-luke-3a764375, https://www.linkedin.com/in/elizadietz, https://www.linkedin.com/in/georgetpantazopoulos, https://www.linkedin.com/in/jdsklaroff, https://www.linkedin.com/in/joe-g-7b67b2b3, https://www.linkedin.com/in/julie-joyce-93119a13, https://www.linkedin.com/in/juliet-domb-64a2853b, https://www.linkedin.com/in/kate-leonard-a0b0784a, https://www.linkedin.com/in/m1kecunningham, https://www.linkedin.com/in/mazen-hammad-835516131, https://www.linkedin.com/in/megan-hurley-28a79282, https://www.linkedin.com/in/millie-walton-smith-29813b1b4, https://www.linkedin.com/in/morgan-noonan-57aa391a0, https://www.linkedin.com/in/nicolechen35, https://www.linkedin.com/in/siyka-kostevska-cpa-22b35410, https://www.linkedin.com/in/stephenrenfro, https://www.linkedin.com/in/taylorgirouard, https://www.linkedin.com/in/thomas-capon-22071191, https://www.linkedin.com/in/vijaybarathan",
6571d808-b7a9-418d-922e-297eb43066b9,Oxford Capital Partners,company,,,,http://www.oxcp.com/,http://www.oxcp.com/,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:02.297Z,Mirza Asceric,2026-02-15T20:29:02.657Z,Mirza Asceric,"USA,UK",3. Early Revenue,,
28f9a8b9-c82d-4638-9dc8-fc901335ab3e,Panacea Stars,company,,,,http://panacea-stars.com/,http://panacea-stars.com/,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:02.297Z,Mirza Asceric,2026-02-15T20:29:02.657Z,Mirza Asceric,UK,"3. Early Revenue,2. Prototype",,
d0bab04a-8c2c-4569-b7be-3c6bde1be894,Pario Ventures,company,,"Pario works with entrepreneurs, CEOs, to identify and implement an exit strategy for the founder or shareholders including investment",,https://www.parioventures.com/,https://www.parioventures.com/,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:02.297Z,Mirza Asceric,2026-02-15T20:29:02.657Z,Mirza Asceric,"USA,UK","3. Early Revenue,5. Growth,4. Scaling","https://www.linkedin.com/in/jan-stanley-brown-17203823, https://www.linkedin.com/in/kevin-doyle-02937735, https://www.linkedin.com/in/laura-jones-a0976830, https://www.linkedin.com/in/thegrumpyentrepreneur, https://www.linkedin.com/in/trinamh",
e099e216-9bf1-46e6-a795-1c53f3d1bd8e,Parkwalk Advisors,company,,"Finance, Financial Services, Venture Capital",,https://parkwalkadvisors.com/,https://parkwalkadvisors.com/,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:02.297Z,Mirza Asceric,2026-02-15T20:29:02.657Z,Mirza Asceric,UK,3. Early Revenue,"https://www.linkedin.com/in/alun-williams-4595a912, https://www.linkedin.com/in/amyvirdee, https://www.linkedin.com/in/anne-dobr%C3%A9e-3632a43, https://www.linkedin.com/in/chloe-woodacre-1017413b, https://www.linkedin.com/in/georgia-docker-1303b6173, https://www.linkedin.com/in/harrietdoherty, https://www.linkedin.com/in/john-pearson-b96b22234, https://www.linkedin.com/in/lucy-allen-246198141, https://www.linkedin.com/in/martin-glen-66b92934, https://www.linkedin.com/in/moray-wright-03845a14, https://www.linkedin.com/in/neil-cameron-23843116, https://www.linkedin.com/in/olivia-goodchild-2825bb6a, https://www.linkedin.com/in/samiksha-rai-696ba4181, https://www.linkedin.com/in/susie-harris-70389913, https://www.linkedin.com/in/wisdom-yemi",
6b6749c1-85c0-4684-9367-bb602cf77af2,Passion Capital Management,company,,,,https://www.passioncapital.com/,https://www.passioncapital.com/,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:02.297Z,Mirza Asceric,2026-02-15T20:29:02.657Z,Mirza Asceric,UK,3. Early Revenue,"https://www.linkedin.com/in/andrew-jenkins-a9809b57, https://www.linkedin.com/in/greg-bennett-cfa-b58a60230, https://www.linkedin.com/in/paul-walker-6b98a1128, https://www.linkedin.com/in/robertdighero, https://www.linkedin.com/in/sarah-stafford-a6876982, https://www.linkedin.com/in/willorde",
4f05ea42-fae2-49ad-9a2b-ff529eb4e1f2,Piton Capital,company,,"Piton Capital is a venture capital and growth equity firm headquartered in London, United Kingdom.",,https://www.pitoncap.com/,https://www.pitoncap.com/,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:02.297Z,Mirza Asceric,2026-02-15T20:29:02.657Z,Mirza Asceric,"France,UK",3. Early Revenue,,
a25f5793-82a9-4f6f-ae5e-bf6c71f518d1,Playfair Capital,company,,,,https://playfaircapital.com/,https://playfaircapital.com/,,,"European Family Offices' Founders ,European Family Offices' Founders ,+100 best VC Funds in UK 🇬🇧",2026-02-15T20:01:58.079Z,Mirza Asceric,2026-02-15T20:29:03.008Z,Mirza Asceric,UK,"3. Early Revenue,2. Prototype",,
