Investor name,Investor type,Countries of investment,Global HQ,Technology focus,First Cheque,Stages of investment,Investment thesis,LinkedIn,Website,linkedin-private-codex
360 Capital,VC,"France,Italy,Spain,UK,Germany,Portugal,Netherlands,Switzerland,Israel","13 Avenue de l’Opéra, 75001 Paris","💻 Software,🔬 Deep Tech,📱 Consumer hardware,⚙️ Enterprise hardware",$150k to $8M,"2. Prototype,3. Early Revenue,4. Scaling","We invest in early-stage, innovative deeptech & digital enterprises across Europe. The firm has a 20-year track record of supporting talented tech entrepreneurs in developing ambitious & disruptive companies in a variety of sectors. Led by a diverse and experienced team of professionals located in Paris and Milan, 360 Capital has €400M of assets under management.",https://www.linkedin.com/company/360-capital-partners/,https://www.360cap.vc/,
CommerzVentures,VC,"Germany,UK,France,Switzerland,Italy,Spain,Australia,Belgium,Netherlands,Portugal,Sweden,Norway,Denmark,Ireland,Greece,Finland,Estonia,Czech Republic,Cyprus,Croatia,Bulgaria,Latvia,Lithuania,Malta,Afghanistan,Hungary,Slovenia,Slovakia,Israel,USA,Poland,Luxembourg,Cabo Verde,Iceland,Canada","Kaiserstr. 20, Frankfurt am Main, Hessen, 60311, DE",💻 Software,$3M to $12M,"3. Early Revenue,4. Scaling","We invest in early-stage FinTech, InsurTech, and Climate-Fintech companies starting at Series A in Europe, Israel and the USA.  The initial investment size ranges from €2.5m to €10m. We invest in the very best startups in a given sector. As an independent financial investor, we offer access to key decision makers in financial services and insurance.",https://www.linkedin.com/company/commerzventures,https://commerzventures.com/,
Go Capital,VC,France,"1a, Rue Louis Braille, Saint-Jacques-de-la-Lande, Bretagne 35136, FR","💻 Software,⚙️ Enterprise hardware,🌡 Medical hardware,🔬 Deep Tech,💊 Therapeutics",$500k to $1.5M,"2. Prototype,3. Early Revenue,1. Idea or Patent",We invest in Deeptech & Digital startups based on the west of France,https://www.linkedin.com/company/gocapital/,https://www.gocapital.fr/en/,
MeOhr Ventures,VC,"Israel,France","39 Yosef Shechter St, Haifa, Israel 3436600, IL","🌡 Medical hardware,🔬 Deep Tech,💊 Therapeutics",$250k to $25M,"3. Early Revenue,4. Scaling,5. Growth,2. Prototype",We invest in potential for globally impactful life-science innovation.,https://il.linkedin.com/company/meohr-ventures,https://www.meohrventures.com/,
Astorya,VC,"France,Germany,UK,Spain,Belgium,Netherlands,Poland,Czech Republic,Estonia,Ukraine,Portugal,Italy,Greece,Ireland,Norway,Sweden,Denmark,Finland,Latvia,Lithuania,Belarus,Slovakia,Slovenia,Hungary,Romania,Bulgaria,Croatia,Switzerland,San Marino,Liechtenstein","Rue de Washington, Paris, Ile de France 75008, FR",💻 Software,$120k to $300k,"3. Early Revenue,1. Idea or Patent,2. Prototype",We invest in insurance-related technologies in Europe to help you get to market faster. #insurtech #fintech #digitalhealth #cybersecurity #mobility #smartcities,https://www.linkedin.com/company/astorya-vc,http://astorya.vc/,
South Central Ventures,VC,"Albania,Bosnia and Herzegovina,Croatia,Serbia,North Macedonia,Montenegro","Belgrade, Serbia; Zagreb, Croatia; Skopje, North Macedonia","💻 Software,🔬 Deep Tech",$100k to $3M,"3. Early Revenue,4. Scaling",We invest in CEE B2B tech companies in seed and Series A stage.,https://www.linkedin.com/company/south-central-ventures/,https://sc-ventures.com/,
BGV Bethnal Green Ventures,VC,UK,"20-30 Whitechapel Road, London E1 1EW, UK","🔬 Deep Tech,💻 Software,📱 Consumer hardware,⚙️ Enterprise hardware,🌡 Medical hardware",$42k to $140k,"3. Early Revenue,2. Prototype",We invest in ambitious teams using technology to tackle social and environmental problems and drive positive outcomes for people and planet at scale.,https://www.linkedin.com/company/bethnal-green-ventures,https://bethnalgreenventures.com,
Marigold Capital,VC,"Canada,USA","366 Adelaide St. W., Suite 606 Toronto ON M5V 1R9","💻 Software,📱 Consumer hardware,💊 Therapeutics",$50k to $200k,3. Early Revenue,"We invest in Canadian and US founders with technology-enabled products and services that deliver value to women, Black, Indigenous, People of Colour (BIPOC) and other underserved groups. $15,000+ MRR across mental health, femtech, edtech, fintech and supply chain resilience/transparency B2B and B2C sectors/markets.  Marigold Capital is a gender and social equity lens impact investment fund.",https://www.linkedin.com/company/marigold-capital/,https://marigold-capital.com/,
Fitt Insider,Family office,"USA,Canada",3700 Butler Street Pittsburgh pa 15201,"📱 Consumer hardware,💻 Software,🌡 Medical hardware,💊 Therapeutics",$15k to $150k,"2. Prototype,1. Idea or Patent,3. Early Revenue","We invest in early-stage companies across fitness, wellness, and health. We leverage the research from our weekly industry analysis to find opportunities and match that to idea stage to seed stage companies.",https://www.linkedin.com/company/fitt-insiders,https://insider.fitt.co/investments/,
Angelsquare Capital,Angel network,France,90 Rue Notre Dame de Nazareth 75003 Paris,"💊 Therapeutics,🔬 Deep Tech,💻 Software,🌡 Medical hardware",$50k to $500k,"2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in pre-seed and seed stages - all sectors, focused on French Entrepreneurs :) We can leverage our tickets with our serial-BAs network through a SPV",https://www.linkedin.com/company/angelsquare/,https://angelsquare.co/capital/,
Depo Ventures,Angel network,"Czech Republic,Slovakia,Slovenia,Poland,Austria,Switzerland,Latvia,Lithuania,Estonia,Romania,Ukraine,Bulgaria,Hungary","Plynární 10, Prague, Czech Republic","💻 Software,🔬 Deep Tech",$50k to $1M,"2. Prototype,3. Early Revenue,4. Scaling","We invest in exceptional founders from Central and Eastern Europe and Baltics in the pre-seed and seed stage. MVP/prototype and first validation of business model are welcome (first users, clients). We invest through our fund Grouport or syndicate of angels in our network. Our mission is to make a CEE seed environment better.",https://www.linkedin.com/company/depo-ventures/,https://depoventures.com/,
RevTech Ventures,VC,"USA,Canada","311 N Market St, Suite #200, Dallas, TX 75202, USA",💻 Software,$100k to $250k,"3. Early Revenue,2. Prototype","We invest in brands and retail technologies creating the future of retail. Specifically, we look for:  1. BREAK-THROUGH TECHNOLOGY OR CONCEPT: Product leverages technology to solve a major pain point, creates a new business model, or caters to an under-served market in the retail industry  2. STRONG TEAM WITH DOMAIN EXPERTISE: Relevant industry and functional expertise from collective team who reflect the core tenets of teamwork and leadership  3. CUSTOMER VALIDATION: Pilot or customer already underway with clear results and feedback  4. STRATEGIC FIT: RevTech can add significant value as a partner beyond our financial investment",https://www.linkedin.com/company/revtechventures,https://revtechventures.com/,
e.ventures,VC,"USA,Israel,Canada,France,Germany,UK,Italy,Spain,Denmark,Sweden,Switzerland","600 Montgomery, 43rd Floor, San Francisco, CA 94111, US",💻 Software,$1M to $10M,"3. Early Revenue,4. Scaling,5. Growth","We invest in consumer internet and software companies around the world. Sweet spot is Seed, Series A, and Series B.",https://www.linkedin.com/company/e-ventures,https://www.eventures.vc/,
Masawa,VC,"Norway,Sweden,Finland,Denmark,Iceland,Ireland,UK,Estonia,Latvia,Lithuania,Ukraine,Poland,Czech Republic,Germany,Netherlands,Belgium,Luxembourg,Austria,Switzerland,Slovakia,Slovenia,France,Italy,Romania,Moldova,Hungary,Greece,Serbia,Croatia,Spain,Andorra,Liechtenstein,Portugal,Monaco,Turkey,Israel,Palestine,North Macedonia,Montenegro,Bulgaria,Malta,Cyprus,Canada,Mexico,Kenya,Nigeria,Indonesia,China,India","Rheinsberger Strasse 76/77, 10115 Berlin, Germany","💻 Software,📱 Consumer hardware,⚙️ Enterprise hardware,🌡 Medical hardware,🔬 Deep Tech,💊 Therapeutics",$50k to $2M,"2. Prototype,3. Early Revenue",We invest in founders revolutionizing the mental wellness landscape.,https://www.linkedin.com/company/masawafund/,https://masawa.fund/,
SmartGateVC,VC,"Armenia,USA,Ukraine,Belarus,Poland,Russia","Hero House at HyeRise 326 Mira Loma Ave, Glendale, CA 91204","🔬 Deep Tech,💻 Software",$25k to $100k,"2. Prototype,3. Early Revenue","We invest pre-seed in AI infrastructure, AI-enabled devices/IoT and SaaS, as well as ventures on the intersection of AI with Healthcare / Life Sciences.",https://www.linkedin.com/company/smartgate.vc/,https://www.smartgate.vc/,
Citizen Capital,VC,France,"16 Place de la République, Paris, 75010, FR",💻 Software,$360k to $4.8M,"3. Early Revenue,4. Scaling,5. Growth","We invest in ambitious and mission-driven entrepreneurs, trying to solve major social or environmental issues.  We typically participate in rounds from 1 to 10M€, starting pre-series A.  Some portfolio companies : OpenClassrooms, Ulule, RPur, Supermood",https://www.linkedin.com/company/citizen-capital/,http://www.citizencapital.fr/,
Aescuvest,VC,"Germany,Israel,Austria,Belgium,Bulgaria,Croatia,Czech Republic,Denmark,Sweden,Finland,France,Greece,Hungary,Ireland,Norway,Spain,Portugal,Ukraine,UK,Switzerland","Hanauer Landstraße 328, 60314 Frankfurt am Main, Germany","🔬 Deep Tech,💊 Therapeutics,🌡 Medical hardware",$1M to $5M,3. Early Revenue,"We invest in medical breakthrough innovations in the areas of: digital drug, digital device and digital detection and diagnosis.",https://www.linkedin.com/company/aescuvest-gmbh/,https://www.aescuvest.eu/,
Inventure,VC,"Finland,Norway,Denmark,Iceland,Latvia,Estonia,Lithuania","Lapinlahdenkatu 16, Helsinki, Southern Finland FI","🔬 Deep Tech,💻 Software,🌡 Medical hardware,⚙️ Enterprise hardware,💊 Therapeutics",$400k to $4M,"3. Early Revenue,4. Scaling","We invest in Seed and Series A throughout the Nordics and Baltics, with a portfolio ranging from deep tech companies like Blueprint Genetics and AImotive to consumer internet brands like Insurello, Swappie, and Wolt.",https://www.linkedin.com/company/inventure/,https://inventure.vc/,
Soma Ventures,VC,"Taiwan,China,USA,Canada,Hong Kong,Sweden,Egypt,Norway,UK","5111 Telegraph Ave.  Oakland, CA 94609","💻 Software,⚙️ Enterprise hardware,🔬 Deep Tech,📱 Consumer hardware",$50k to $250k,"3. Early Revenue,2. Prototype","We invest in $1B plus market opportunity.  Business model-scalable, solving a major pain point. Defensible Product - Unique industry knowledge, Network effects. Unit Economics - Viable, high LTV/CAC, with unique business channels. Team - Experienced entrepreneurs with world views.",https://linkedin.com/rob-wang-tech,https://soma.ventures/,
Yellowdog,VC,"South Korea,USA,Singapore,Vietnam","4F, 21, Wangsimni-ro 6-gil, Seongdong-gu, Seoul, Korea","🔬 Deep Tech,⚙️ Enterprise hardware,💻 Software",$500k to $5M,"3. Early Revenue,4. Scaling","We invest in startups, from Pre-series A to series B, which have innovative potentials in four key impact domains - (1) climate solutions, (2) wellness and healthcare solutions, (3) education solutions, and (4) workstyle solutions.   Yellowdog is an impact VC fund.",https://www.linkedin.com/company/yellowdogivc,http://www.yellowdog.kr/,
OTB Ventures,VC,"Netherlands,Austria,Belarus,Bulgaria,Czech Republic,Estonia,Finland,Latvia,Lithuania,Hungary,Poland,Slovakia,Ukraine,USA,UK,Slovenia",Netherlands,"🔬 Deep Tech,💻 Software",$1M to $6M,"3. Early Revenue,4. Scaling","We invest in Fintech and / or deep tech companies, with European R&D at early growth stage (post product / post revenue) scaling globally and located anywhere in the world",https://www.linkedin.com/company/otb-ventures/,https://www.otb.vc/,
Correlation Ventures,VC,USA,"9255 Towne Centre Drive, San Diego, California 92121, US","🔬 Deep Tech,💻 Software,📱 Consumer hardware,⚙️ Enterprise hardware,🌡 Medical hardware,💊 Therapeutics",$100k to $4M,"3. Early Revenue,1. Idea or Patent,2. Prototype,4. Scaling,5. Growth",We invest in US-based companies that have at least one other outside VC joining the syndicate at the same time we are.,https://www.linkedin.com/company/correlation-ventures,https://correlationvc.com/,
Wave Ventures,VC,"Finland,Sweden,Denmark,Norway,Estonia,Lithuania,Latvia","Fredrikinkatu 42, Helsinki, 00100, FI","🔬 Deep Tech,💻 Software,📱 Consumer hardware",$50k to $50k,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in startups solving millennial problems and startups emerging from the university ecosystem.,https://www.linkedin.com/company/wave-ventures/,https://www.wave.ventures/,
Aonia Ventures,VC,"France,Canada,Germany,UK","3 ruelle des templiers, 1207 GENEVA",💻 Software,$150k to $300k,"3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in tech companies all over the world, in early-stage with tickets from 150k$ to 300k$",https://www.linkedin.com/company/aonia-ventures/,http://www.aonia.vc/,
Alstin Capital,VC,"Austria,Belgium,Denmark,Estonia,Czech Republic,Finland,France,Germany,Greece,Iceland,Ireland,Italy,Latvia,Liechtenstein,Luxembourg,Lithuania,Netherlands,Norway,Poland,Portugal,Spain,Switzerland,Ukraine,Israel,UK,Romania,Hungary,Slovakia,Serbia","Maximilianstr. 34, 80539 München","💻 Software,🔬 Deep Tech",$1.2M to $5.98M,"4. Scaling,5. Growth","We invest in rapidly growing technology companies that have the potential to leverage the significant market potential of the future and become market leaders. We do not solely invest in convincing technology, but above all in the entrepreneurs behind the technology. We support our entrepreneurs with capital and know-how so that they can grow faster and more successfully. The basis of our investment is the conviction that entrepreneurial know-how, long-term transaction experience, international networks and sales excellence are the success factors for sustainable growth.",https://www.linkedin.com/company/alstincapital,https://www.alstincapital.de/,
Encomenda Smart Capital,VC,"Spain,Portugal","Calle Muntaner 499, Entresuelo 4ª, 08022, Barcelona, Spain",💻 Software,$75k to $350k,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in Iberian Startups (Spain+Portugal) in early and seed stage,https://www.linkedin.com/company/encomenda-vc,https://encomenda.com/,
AnD Ventures,VC,Israel,"Arik Einstein St 3, Herzliya, Israel","💻 Software,🔬 Deep Tech",$500k to $1.5M,"3. Early Revenue,4. Scaling","We invest in early-stage Israel-based/Israeli-led startups developing innovative and technologically advanced solutions, validated by our broad enterprise network.",https://www.linkedin.com/company/and-ventures/,https://www.and-ventures.com/,
Club degli Investitori,Angel network,Italy,"Via Giacosa 38, 10125 Torino, Italy","💻 Software,🔬 Deep Tech,💊 Therapeutics,⚙️ Enterprise hardware,🌡 Medical hardware,📱 Consumer hardware",$200k to $1.2M,"3. Early Revenue,4. Scaling,5. Growth",We invest in italian entrepreneurs,https://www.linkedin.com/company/clubdegliinvestitori/,http://www.clubdeglinvestitori.it/,
Subvisual,PE fund,"Portugal,UK,USA","Avenida João Paulo II, 404, 4andar, Sala45, Braga, 4715275, PT",💻 Software,$25k to $250k,"1. Idea or Patent,2. Prototype","We invest in digital companies that push forward FinTech, Digital Healthcare, and others. We also create and buy companies.",https://www.linkedin.com/company/wearesubvisual,https://subvisual.com/,
Bowery Capital,VC,"USA,Canada","37 West 20th Street, New York, NY 10011, US",💻 Software,$750k to $2M,"2. Prototype,3. Early Revenue,1. Idea or Patent",We invest in seed-stage B2B SaaS and B2B marketplace companies looking to modernize business through technology.,https://www.linkedin.com/company/bowery-capital,https://bowerycap.com/,
Blu Ventures,VC,"USA,Canada","1577 Spring Hill Rd, Vienna, VA 22182","💻 Software,🔬 Deep Tech",$50k to $1M,"3. Early Revenue,4. Scaling",We invest in US/Canada based Enterprise SaaS startups with a focus on security solutions with $100K+ ARR,https://www.linkedin.com/company/bluventures/,https://www.bluventureinvestors.com/,
Spring Invest,VC,France,"33, Rue d'amsterdam, Paris, Île-de-France 75008, FR",💻 Software,$500k to $3M,"3. Early Revenue,4. Scaling",We invest in French software companies.  Spring Invest is a French VC fund dedicated to companies shaping the future of commerce.,https://www.linkedin.com/company/spring-invest/,https://www.spring-invest.com/,
Starlight Ventures,VC,"USA,UK,Germany,Israel,Sweden,France,Italy,Spain,Mexico,Argentina,Brazil,Chile","2666 Brickell Av., 3rd floor, Miami, FL 33129, US","🔬 Deep Tech,💻 Software",$250k to $2.5M,"3. Early Revenue,2. Prototype",We invest in early stage startups using breakthrough tech to address humanity’s biggest challenges,https://www.linkedin.com/company/starlightventures/,https://www.starlight.vc/,
Portugal Ventures,VC,Portugal,"Av. Dr. Antunes Guimarães, 103, 4100-079 Porto","💻 Software,🔬 Deep Tech",$100k to $1M,"2. Prototype,3. Early Revenue",We invest in Portugal-based tech-based startups with MVP.,https://www.linkedin.com/company/portugal-ventures,https://www.portugalventures.pt/en/,
OpenCNP by CNP Assurances,Corporate VC,"France,Germany,UK","4, Place Raoul Dautry, Paris, Ile-de-France 75015, FR",💻 Software,$1M to $5M,"3. Early Revenue,4. Scaling","We invest in fintech, insurtech, digital health and B2B startups in Europe with tickets from 1 to 5m€",https://www.linkedin.com/showcase/opencnp/,https://open.cnp.fr/,
AVP AXA Venture Partners,VC,"France,USA,UK,Israel,Canada,Germany,Spain,Portugal,Switzerland,Norway,Finland,Sweden,Luxembourg,Belgium,Netherlands,Italy,Poland,Latvia,Estonia,Ireland,Austria,Hungary,Czech Republic,Greece","9 Place de la Madeleine, 75008, Paris, France","🔬 Deep Tech,💻 Software",$3M to $50M,"3. Early Revenue,4. Scaling,5. Growth","We invest in software companies (Enterprise software, Digital Health, Fintech, Insurtech, B2C marketplaces) that are typically at Series A stage or above.   We are a cross-stage and cross-border fund with ticket sizes ranging from US$2m to $50m.   Our teams are based in London, Paris, New York, San Francisco, and Hong Kong and we invest in the EU, the UK, the US, and Israel.",https://www.linkedin.com/company/axa-sv/,https://www.axavp.com/,
Colam Impact,VC,France,"25 rue d’Astorg 75008 Paris, France","📱 Consumer hardware,💻 Software,⚙️ Enterprise hardware,🌡 Medical hardware",$120k to $1.22M,"3. Early Revenue,4. Scaling","We invest in impact companies.  Colam Impact is a French Family Funded Impact investing company.   Focus on 5 main themes directly linked to the SDGs: water and sanitation, clean and affordable energy, circular economy, health, access to education, training and employment.   Long-term and patient investor to support innovative and impact leaders and entrepreneurs.   Worldwide investment scope (solo investment in France but always in co-investment abroad).",https://www.linkedin.com/company/colamimpact/,http://www.colamimpact.com/,
Revo Capital,VC,"Turkey,Estonia,Lithuania,Latvia,Poland,Greece,Serbia,Romania,Bulgaria,Ukraine,Hungary,Croatia,Slovakia,Slovenia,Moldova","Amsterdam, Netherlands","💻 Software,🔬 Deep Tech",$500k to $7.5M,"5. Growth,4. Scaling,3. Early Revenue","We invest in truly innovative, early-stage B2B or B2C technology ventures in Turkey, Eastern Europe & Baltics with €100k+ MRR, an impressive growth trajectory, veteran founders and a scalable, global vision.",https://tr.linkedin.com/company/revo-capital,https://www.revo.vc/,
Insurtech Gateway,VC,"UK,USA,France,Germany,Spain,Australia","32 Blackfriars Road, London, England SE1 8PB, GB","💻 Software,🔬 Deep Tech",$50k to $1M,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in early-stage Insurtech companies. Insurtech Gateway is the only investor with its own FCA authorised incubator + fund. The fastest place to build and launch an insurtech idea. The Gateway Fund supports the portfolio post-incubation, as they enter a phase of rapid growth and scale-up, to Series A and beyond.",https://www.linkedin.com/company/insurtech-gateway,https://insurtechgateway.com/,
Ground Up Ventures,VC,"USA,Israel","New York, USA","🔬 Deep Tech,💻 Software",$250k to $500k,"2. Prototype,3. Early Revenue",We invest in pre-seed and seed stage startups in the US and Israel.,https://www.linkedin.com/company/ground-up-ventures,https://www.groundup.vc/,
IrishAngels,Angel network,USA,"415 N. LaSalle Dr. Suite 504, Chicago, IL 60654","💻 Software,📱 Consumer hardware,⚙️ Enterprise hardware,🌡 Medical hardware",$150k to $1M,"2. Prototype,3. Early Revenue","We invest in US-based software, consumer products, and medical devices.",https://www.linkedin.com/company/vitalizeventuregroup/,http://irishangels.com/,
Polymath Capital Partners,VC,"USA,UK,Singapore","San Francisco, CA US","💻 Software,🌡 Medical hardware,💊 Therapeutics",$25k to $250k,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in pre-seed and seed-stage companies with an emphasis on community, longevity, and financial democratization.",https://www.linkedin.com/company/polymath-capital-partners/,https://www.polymathcp.com/,
Seedcamp,VC,"UK,France,Germany,Ireland,Sweden,Finland,Norway,Netherlands,Switzerland,Spain,Portugal,Hungary,Romania,Estonia,Russia,Israel,Italy,Ukraine,Poland,Belgium,Czech Republic,Greece,Belarus,Austria,Serbia,Bulgaria,Denmark,Slovakia,Slovenia,Croatia,Moldova,Bosnia and Herzegovina,Albania,Lithuania,Latvia,North Macedonia,Montenegro,Luxembourg,Malta,Iceland,Andorra,Monaco,Liechtenstein,Holy See,San Marino","5 Bonhill St, Shoreditch, London EC2A 4BX","🔬 Deep Tech,💻 Software,📱 Consumer hardware,⚙️ Enterprise hardware",$140k to $700k,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest early in world-class founders attacking large, global markets and solving real problems using technology.",https://www.linkedin.com/company/seedcamp_2,http://seedcamp.com/,"https://www.linkedin.com/in/carloseduardoespinal, https://www.linkedin.com/in/reshmasohoni, https://www.linkedin.com/in/tomwilsonseedcamp, https://www.linkedin.com/in/sia-houchangnia"
Polymatter Invest,Angel network,France,"Paris, France","💻 Software,📱 Consumer hardware,⚙️ Enterprise hardware",$20k to $50k,"3. Early Revenue,2. Prototype",We invest in pre-seed and seed rounds.  We invest in founders with global ambitions. Any sector.   Sparring partner with a team-oriented approach to back talented entrepreneurs.,https://www.linkedin.com/company/polymatter-holding-invest/,https://www.polymatter.ventures/,
FounderPartners,VC,"Argentina,Australia,Austria,Armenia,Belarus,Belgium,Bulgaria,Bosnia and Herzegovina,Brazil,Canada,Croatia,Czech Republic,Denmark,Estonia,Finland,France,Germany,India,Hungary,Ireland,Israel,Japan,Latvia,Lithuania,Italy,Mexico,Netherlands,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,Taiwan,Ukraine,Turkey,UK,USA","3 E 3rd Ave, San Mateo, California 94401, US",💻 Software,$50k to $1M,"3. Early Revenue,5. Growth,4. Scaling","We invest in global technical founders.  We're successful serial entrepreneurs successful serial entrepreneurs who partner with, invest in and help technical founders build and exit their companies.  We have a stellar track record -- 85% success rate (25 companies, 13 exits, only 4 failures).  Most of our companies are scrappy bootstrapped companies or ""Mustangs"" that exit in the $25-100m range.  We have had some nice unicorn exits like Roblox in which we were the first money invested.  FounderPartners is not a VC -- we invest our own money which better aligns ourselves with fellow founders.  We're not an accelerator which teaches you how to raise money -- we teach you how to build a business.  We target capital efficient businesses in software, digital media, APIs and blockchain. Our center of gravity is in Silicon Valley but our team is global and we partner with companies from all over the world.",https://www.linkedin.com/company/founderpartners/,https://www.founderpartners.co/,
The Flying Whale Ventures,VC,"Israel,UK,USA","Frishman street, Tel Aviv-Yafo, Israel IL","📱 Consumer hardware,💻 Software",$250k to $2M,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in brave founders building consumer-centric businesses, aiming to become the brands of the future.",https://www.linkedin.com/company/the-flying-whale-ventures/,https://theb2cs.com/,
First Momentum Ventures,VC,"Germany,Switzerland,Austria","Alter Schlachthof 33, Karlsruhe, Baden-Württemberg 76131, DE","🔬 Deep Tech,💻 Software",$25k to $200k,"2. Prototype,1. Idea or Patent,3. Early Revenue","We invest in pre/early-traction B2B companies with a technical core as their main differentiator. We mainly invest in Deep Tech, SaaS and SaaS-enabled marketplaces.",https://www.linkedin.com/company/firstmomentum,https://firstmomentum.vc/,
Olma Luxury Holdings,VC,"France,Germany,Italy,Portugal,Spain,Switzerland,UK","7 Seville Place Dublin 1, Ireland","💻 Software,📱 Consumer hardware",$600k to $5M,"3. Early Revenue,4. Scaling,5. Growth",We invest in luxury consumer goods and services in Western Europe. We favor direct-to-consumer approaches and profitability over hyper-growth.,https://www.linkedin.com/company/olma-capital-management/,https://www.olma.com/,
Sofinnova Partners,VC,"France,Italy,USA,Germany,Netherlands,Canada,Switzerland,UK","7-11 Boulevard Haussmann, Paris 75009, France","🔬 Deep Tech,💊 Therapeutics",$1M to $60M,"3. Early Revenue,4. Scaling,1. Idea or Patent,2. Prototype,5. Growth,6. Pre-IPO","We invest in life sciences startups with a focus on healthcare and sustainability. We look for visionary entrepreneurs developing breakthrough technologies in biotech, biopharma, medtech, and industrial biotech. We proactively source deals, take a lead role, and are most often the first institutional investor in Seed and Series A financings. We sit on the boards of our companies, playing an active role in the formation phase and throughout the company's growth all the way to exit. Sofinnova is based in Europe with offices in Paris, London, and Milan, but the firm has a global reach and is open to opportunities across the entire value chain from early-stage to growth/IPO.",https://www.linkedin.com/company/sofinnova-partners,https://www.sofinnovapartners.com/,
Hummingbird Ventures,VC,"UK,India,Turkey,Belgium,Indonesia,Brazil,Mexico,Canada,USA,Netherlands,Nigeria,France,Singapore,Greece,UAE","London, United Kingdom","💻 Software,🔬 Deep Tech,💊 Therapeutics",$500k to $10M,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in entrepreneurial genius globally at early-stage.,https://www.linkedin.com/company/hummigbird-ventures,https://www.hummingbird.vc/,"https://www.linkedin.com/in/akshay-mehra-7989312b, https://www.linkedin.com/in/aleksandra-livinskaia, https://www.linkedin.com/in/ani-mouradyan, https://www.linkedin.com/in/barend-van-den-brande-219513, https://www.linkedin.com/in/caitlinedennis, https://www.linkedin.com/in/diyala-erekat, https://www.linkedin.com/in/elcinmetin, https://www.linkedin.com/in/ilerifirat, https://www.linkedin.com/in/katherine-jones-b88848127, https://www.linkedin.com/in/kobe-hendrickx-cfa-80383037, https://www.linkedin.com/in/konradkordowski, https://www.linkedin.com/in/lucas-de-four-864788b0, https://www.linkedin.com/in/lukasdecoster, https://www.linkedin.com/in/marc-rizk-771631243, https://www.linkedin.com/in/mariogabriele, https://www.linkedin.com/in/mickellu, https://www.linkedin.com/in/patlundgren, https://www.linkedin.com/in/peter-devlin, https://www.linkedin.com/in/roxanneroukoz, https://www.linkedin.com/in/sigrid-myncke-aab5561b7, https://www.linkedin.com/in/tealfrost, https://www.linkedin.com/in/thomas-delplanque-60391415, https://www.linkedin.com/in/woutergort"
Render Capital,VC,USA,"821 E Market Street, Louisville, Kentucky 40206",💻 Software,$100k to $350k,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in the Midwest. We are smart investors who take early risks.,https://www.linkedin.com/company/render-capital,https://render.capital/,
Verge Healthtech Fund,VC,"Israel,USA,Canada,Finland,Estonia,Taiwan,Singapore,UK,Belarus,Poland,Vietnam","Singapore, Singapore 189720, SG","🔬 Deep Tech,🌡 Medical hardware",$250k to $500k,2. Prototype,"We invest in technology-centric solutions that expand access, quality and efficiency to healthcare across emerging markets.",https://www.linkedin.com/company/verge-healthtech-fund-i/,https://www.vergehc.com/,
Innovation Nest,VC,"Poland,Portugal,Spain,France,Denmark,Germany,UK,Estonia,Romania,Hungary",Ludwinowska 7/8 31-103 Krakow Poland,💻 Software,$300k to $1.2M,3. Early Revenue,"We invest in B2B Software companies across horizontal (sales, marketing, finance, hr) and vertical (logistics, ecommerce, services, horeca) markets with a live product and early revenue.",https://www.linkedin.com/company/2279786,https://www.innovationnest.co/,
Blue Future Partners,VC,"USA,UK,Israel,Germany,Singapore,Austria","Waltherstraße 23, Munich, Germany","💻 Software,🔬 Deep Tech",$2M to $5M,"4. Scaling,5. Growth",We invest in enterprise SaaS and Industry 4.0,https://www.linkedin.com/company/bluefp/,https://www.bfp.vc/,
Mercury Fund,VC,USA,"3737 Buffalo Speedway, 1750, Houston, Texas 77098, USA","💻 Software,🔬 Deep Tech",$750k to $5M,"3. Early Revenue,4. Scaling",We invest in startups that are digitizing the customer journey that are based outside of the West Coast and Northeast. B2B SaaS and B2B2C business models with at least 250K in ARR or run rate.,https://www.linkedin.com/company/mercury-fund/,https://mercuryfund.com/,
Digital Horizon,VC,"Estonia,France,Germany,Israel,Ireland,Netherlands,Portugal,Spain,UK,USA","111 Buckingham Palace Road, London, SW1W 0SR, United Kingdom",💻 Software,$250k to $2M,"2. Prototype,3. Early Revenue,4. Scaling",We invest in fintech and B2B software startups founded by immigrants founders,https://www.linkedin.com/mwlite/company/digitalhorizonvc,https://digitalhorizon.vc/en/,
