Investor name,Investor type,Countries of investment,Global HQ,Technology focus,First Cheque,Stages of investment,Investment thesis,LinkedIn,Website,linkedin-private-codex
Susa Ventures,VC,"USA,Canada,Nigeria,Mexico,India","660 York St Suite 201, San Francisco, CA 94110, United States","🔬 Deep Tech,💻 Software",$1M to $2M,"3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in companies building compounding moats, such as network effects, proprietary data, or economies of scale. Compounding moats enable businesses to become more defensible with scale.",https://www.linkedin.com/company/susa-ventures/,https://susaventures.com/,"https://www.linkedin.com/in/chadabyers, https://www.linkedin.com/in/courtney-buie-lipkin-5690406b, https://www.linkedin.com/in/derickenwezoh, https://www.linkedin.com/in/lpolovets, https://www.linkedin.com/in/misha-gordonrowe, https://www.linkedin.com/in/pratyush-buddiga-9238b4156, https://www.linkedin.com/in/sethgberman, https://www.linkedin.com/in/shaheer-sandhu"
Serena,VC,France,"21, rue Auber 75009 Paris France","🔬 Deep Tech,💻 Software",$200k to $15M,"3. Early Revenue,4. Scaling","We invest in four to five teams per year and focus on helping them reach their maximum potential. We are not looking for early exits. We back Europe-based entrepreneurs willing to build continental or worldwide category leaders. We strongly prefer to lead or co-lead rounds.  Seed to Series B, with check size ranging from €200K to €15 million for our first ticket.  We are not industry-specific as long as your business model is scalable and your product is digital. We have a special affection for DeepTech, enterprise software, marketplaces, and entertainment. We usually do not consider CleanTech & MedTech investment unless there is a special twist.  Our focus is primarily in France, although we are able to invest (and have already done so) in exceptional teams from Europe and the US.",https://www.linkedin.com/company/serenavc/,https://www.serena.vc/,
Wix Capital,Corporate VC,"UK,USA,Israel","HaNamal 40, Tel Aviv-Yafo, Israel",💻 Software,$250k to $8M,"3. Early Revenue,4. Scaling","We invest in startups that share Wix’s technology, innovation and development mindset, and offer synergy with our own growth strategy. We invest in startups that offer significant industry opportunities to shape the future of the web and that offer the potential to become strategic partners of Wix.",https://www.linkedin.com/company/wix-com,https://www.wix.com/wix-capital,
Volta Ventures,VC,"Belgium,Netherlands,Luxembourg","Gebroeders Vandeveldestraat 68, 9000 Gent","💻 Software,🔬 Deep Tech",$350k to $2.3M,"2. Prototype,3. Early Revenue,4. Scaling","We invest in Benelux-based B2B SaaS. No minimum revenue, just a great team with ambitions in a large market",https://be.linkedin.com/company/volta-ventures,https://www.volta.ventures/,
Shapr Ventures,VC,France,"21 Rue Vernet, 75008 Paris, France",💻 Software,$350k to $1.1M,"3. Early Revenue,2. Prototype,1. Idea or Patent",We invest in early-stage tech companies legally based in France. We are sector agnostic and write cheques ranging from 300k to 1M€. Our portfolio companies get access to the whole Shapr ecosystem for free.  Shapr is a startup investing in startups.,https://www.linkedin.com/showcase/shapr-ventures/,https://shapr.co/fr/shapr-ventures/,
Innovacom,VC,"France,Belgium,Austria,Germany,Italy,Spain,UK,Ireland,Luxembourg,Switzerland,Netherlands","9, rue de Téhéran F-75008 Paris France","🔬 Deep Tech,⚙️ Enterprise hardware,🌡 Medical hardware,💻 Software,📱 Consumer hardware",$1M to $5M,"3. Early Revenue,4. Scaling,2. Prototype","We invest in Deeptech, Hardware, Software",https://www.linkedin.com/company/innovacom,http://innovacom.com/,
Re-Pie,PE fund,Turkey,Uniq İstanbul Huzur Mah. Maslak Ayazağa Cad. No:4/C No:107 34485 Sarıyer / İstanbul Turkey,"💻 Software,⚙️ Enterprise hardware,🌡 Medical hardware,🔬 Deep Tech,💊 Therapeutics,📱 Consumer hardware",$50k to $500k,"5. Growth,4. Scaling,3. Early Revenue,6. Pre-IPO",We invest in companies that provide technological solutions in cutting-edge innovation and technology industries.  Our fund aims to become a partner of multiple companies that have technology and innovation-oriented business models with high growth potential through capital or share transfer.,https://www.linkedin.com/company/re-pie-asset-management,http://re-pie.com/,
Maccabee Ventures,VC,"USA,Israel","335 Madison Ave, 16th Fl., New York, NY 10017","💻 Software,🔬 Deep Tech",$50k to $150k,"2. Prototype,3. Early Revenue","We invest in thoughtful founders and transformative technologies across SilverTech® (Aging), Digital Health, PropTech FinTech, Cybersecurity, SaaS and AI. We act as a strategic partner and have a preference for product, traction and revenue.",https://www.linkedin.com/company/macventures/,https://www.maccabee.vc/,
SaaS Ventures,VC,"USA,Canada","7920 Norfolk Ave, #1150, Bethesda, MD, 20814",💻 Software,$200k to $350k,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in B2B, enterprise-focused, recurring revenue (pure SaaS, transactional, marketplaces) startups based outside of Tier 1 markets (SF, NY, Boston).",https://www.linkedin.com/company/saas-venture-capital/,https://www.saasventurecapital.com/,
WePlay Ventures,VC,Turkey,"Kayisdagi St, Istanbul, Atasehir 34755, Turkey",💻 Software,$75k to $500k,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in gaming startups at early stage.,https://www.linkedin.com/company/weplayventures,https://www.weplayventures.com/,
