id,firstname,lastname,contactType,jobTitle,description,favoriteUrl,urls,companies,nbInteractions,groups,createdAt,createdBy,addedToGroupAt,addedToGroupBy,Country,Investment,linkedin-private-codex,linkedin-private-claude
cb04f1a3-ae22-4e2c-baaa-a39a3132ab13,Tamir,Meiri,person,"Guest Lecturer, Teacher's assistant",,https://www.linkedin.com/in/tamir-meiri-694a9b10,https://www.linkedin.com/in/tamir-meiri-694a9b10,Reichman University,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:07.108Z,Mirza Asceric,2026-02-15T20:40:07.108Z,Mirza Asceric,Israel,12,https://www.linkedin.com/in/tamir-meiri-694a9b10,https://www.linkedin.com/in/tamir-meiri-694a9b10
cb2b0f5d-dffc-4f98-91fb-3a179c9503df,Ayberk,Kuday,person,"Investor, Board Member",,https://www.linkedin.com/in/akuday,https://www.linkedin.com/in/akuday,manibux,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:07.108Z,Mirza Asceric,2026-02-15T20:40:07.108Z,Mirza Asceric,Turkey,3,https://www.linkedin.com/in/akuday,https://www.linkedin.com/in/akuday
cb8be3a2-0ee7-44a1-b8b3-6f83b1800908,Talor,Sax,person,CEO,,https://www.linkedin.com/in/talorsax,https://www.linkedin.com/in/talorsax,eHealthVentures,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:11.611Z,Mirza Asceric,2026-02-15T20:40:11.611Z,Mirza Asceric,Israel,2,https://www.linkedin.com/in/talorsax,https://www.linkedin.com/in/talorsax
cd10cd4f-b88f-4d65-9629-7da7bf545351,Khalid,C.,person,Director,,https://www.linkedin.com/in/khalid-c-46b879165,https://www.linkedin.com/in/khalid-c-46b879165,HostSailor,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:07.108Z,Mirza Asceric,2026-02-15T20:40:07.108Z,Mirza Asceric,United Arab Emirates,4,https://www.linkedin.com/in/khalid-c-46b879165,https://www.linkedin.com/in/khalid-c-46b879165
cf61b2a1-8793-40e5-a28f-e8b73f7bf681,Toby,Olshanetsky,person,Chief Executive Officer,,https://www.linkedin.com/in/toby-olshanetsky-3519152,https://www.linkedin.com/in/toby-olshanetsky-3519152,prooV,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:09.389Z,Mirza Asceric,2026-02-15T20:40:09.389Z,Mirza Asceric,Israel,4,https://www.linkedin.com/in/toby-olshanetsky-3519152,https://www.linkedin.com/in/toby-olshanetsky-3519152
d1b0ca58-f1cb-4f3a-ab16-880a9745fa5a,Alp,Yelkenbicer,person,President,,https://www.linkedin.com/in/alp-avni-yelkenbicer-b0949a41,https://www.linkedin.com/in/alp-avni-yelkenbicer-b0949a41,EGİAD,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:09.389Z,Mirza Asceric,2026-02-15T20:40:09.389Z,Mirza Asceric,Turkey,3,https://www.linkedin.com/in/alp-avni-yelkenbicer-b0949a41,https://www.linkedin.com/in/alp-avni-yelkenbicer-b0949a41
d1e6f4c8-408b-4aff-800f-2cba1296a586,Aviv,Garten,person,Co-Founder @ HomeHero. To create. To take risks. To live your passion. To be an entrepreneur.,,https://www.linkedin.com/in/aviv-garten-3a6980174,https://www.linkedin.com/in/aviv-garten-3a6980174,,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:11.611Z,Mirza Asceric,2026-02-15T20:40:11.611Z,Mirza Asceric,Israel,6,https://www.linkedin.com/in/aviv-garten-3a6980174,https://www.linkedin.com/in/aviv-garten-3a6980174
d254656f-c650-4eb3-a502-8a12b4b0778c,Vasily,Tsvetkov,person,Senior Consultant / Project Leader,,https://www.linkedin.com/in/vasily-tsvetkov-67883a41,https://www.linkedin.com/in/vasily-tsvetkov-67883a41,innogy International Middle East,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:09.389Z,Mirza Asceric,2026-02-15T20:40:09.389Z,Mirza Asceric,United Arab Emirates,1,https://www.linkedin.com/in/vasily-tsvetkov-67883a41,https://www.linkedin.com/in/vasily-tsvetkov-67883a41
d3b00c31-5719-4bf3-96c4-4fef21b8aa29,Gur,Shatz,person,"Founder, CEO",,https://www.linkedin.com/in/gur-shatz-36313a,https://www.linkedin.com/in/gur-shatz-36313a,Stealth,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:07.108Z,Mirza Asceric,2026-02-15T20:40:07.108Z,Mirza Asceric,Israel,2,https://www.linkedin.com/in/gur-shatz-36313a,https://www.linkedin.com/in/gur-shatz-36313a
d3fd6a34-d7cd-4d10-8f15-a516b77bf391,Rotem,Gindi,person,Co-founder & Co-CEO,,https://www.linkedin.com/in/rotem-gindi-2a658871,https://www.linkedin.com/in/rotem-gindi-2a658871,APPUSH (NASDAQ: MGIC),0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:07.108Z,Mirza Asceric,2026-02-15T20:40:07.108Z,Mirza Asceric,Israel,5,https://www.linkedin.com/in/rotem-gindi-2a658871,https://www.linkedin.com/in/rotem-gindi-2a658871
d49f5fb4-2d3f-47cc-b8d1-c05fb6a725f8,Nofar,Schnider,person,Principal,,https://www.linkedin.com/in/nofar-schnider,https://www.linkedin.com/in/nofar-schnider,StageOne Ventures,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:09.389Z,Mirza Asceric,2026-02-15T20:40:09.389Z,Mirza Asceric,Israel,1,https://www.linkedin.com/in/nofar-schnider,https://www.linkedin.com/in/nofar-schnider
d50fa09a-c9b0-458f-9bf0-dcf14839c7ff,Baris,Ozistek,person,Chairman,,https://www.linkedin.com/in/baris-ozistek-b071374,https://www.linkedin.com/in/baris-ozistek-b071374,Joygame Publishing,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:09.389Z,Mirza Asceric,2026-02-15T20:40:09.389Z,Mirza Asceric,Turkey,3,https://www.linkedin.com/in/baris-ozistek-b071374,https://www.linkedin.com/in/baris-ozistek-b071374
d6436f16-b446-431d-b84e-934ca8d4d49a,Berke,Birben,person,Materials And Process Engineer,,https://www.linkedin.com/in/berke-birben-402670189,https://www.linkedin.com/in/berke-birben-402670189,BRK Metal Hassas Döküm (Investment Casting),0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:07.108Z,Mirza Asceric,2026-02-15T20:40:07.108Z,Mirza Asceric,Turkey,2,https://www.linkedin.com/in/berke-birben-402670189,https://www.linkedin.com/in/berke-birben-402670189
d6bddfb5-a775-4a7d-aca3-34f9257417ab,Bengisu,Tuerker,person,Account Manager,,https://www.linkedin.com/in/bengisuturker,https://www.linkedin.com/in/bengisuturker,DorukNet,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:09.389Z,Mirza Asceric,2026-02-15T20:40:09.389Z,Mirza Asceric,Turkey,1,https://www.linkedin.com/in/bengisuturker,https://www.linkedin.com/in/bengisuturker
