id,name,contactType,favoriteEmail,description,emails,favoriteUrl,urls,favoriteAddress,addresses,groups,createdAt,createdBy,addedToGroupAt,addedToGroupBy,Founded Year,Founder names,Funds raised,Number of Investments,Number of exists,linkedin-private-codex,linkedin-private-claude
8f71e321-4ec2-4d95-bef2-9018eb8bc5d6,Oak Investment Partners,company,,Oak Investment Partners is a multi-stage venture capital and private equity firm that invests in high growth opportunities.,,https://www.oakvc.com/,https://www.oakvc.com/,"Greenwich, Connecticut, United States","Greenwich, Connecticut, United States",Most prolific investment firms (number of investments),2026-02-15T20:39:03.273Z,Mirza Asceric,2026-02-15T20:39:03.572Z,Mirza Asceric,1978,Ed Glassmeyer,"$2,700,000,000",401,119,,
0a379b5d-3627-4f85-a050-638e151ccd33,Octopus Ventures,company,,"Finance, Financial Services, Venture Capital",,https://octopusventures.com/b2b-software/,https://octopusventures.com/b2b-software/,🇬🇧 UK,🇬🇧 UK,"100 VC firms Investing In SaaS,Most prolific investment firms (number of investments)",2026-02-15T20:28:28.229Z,Mirza Asceric,2026-02-15T20:39:03.739Z,Mirza Asceric,2007,Simon Rogerson,"£1,200,000,000",393,81,"https://www.linkedin.com/in/willgibbs1, https://www.linkedin.com/in/matmunro, https://www.linkedin.com/in/owen-metters, https://www.linkedin.com/in/mphchandler, https://www.linkedin.com/in/richardcourt, https://www.linkedin.com/in/paul-d-8a180414","https://www.linkedin.com/in/willgibbs1, https://www.linkedin.com/in/matmunro, https://www.linkedin.com/in/owen-metters, https://www.linkedin.com/in/mphchandler, https://www.linkedin.com/in/richardcourt"
75e90d37-8816-4339-8876-871f5395b28d,OrbiMed Advisors,company,,,,orbimedadvisors.com,orbimedadvisors.com,New York,New York,Most prolific investment firms (number of investments),2026-02-15T20:39:03.273Z,Mirza Asceric,2026-02-15T20:39:03.572Z,Mirza Asceric,2006,David Cohen,"$3,500,000,000",785,378,,
b1b69986-fa45-44cc-8d00-4b3fb95fa54e,Plug and Play Tech Center,company,,Plug and Play Tech Center connects the world's best startups to industry-leading corporations.,,https://www.linkedin.com/company/plug-and-play-tech-center,https://www.linkedin.com/company/plug-and-play-tech-center,Missouri,Missouri,"All VCs ,All VCs ,All VCs ,All accelerators,Most prolific investment firms (number of investments)",2026-02-15T19:34:32.614Z,Mirza Asceric,2026-02-15T20:39:03.739Z,Mirza Asceric,2006,"Ali Safavi, Jackie Hernandez, Saeed Amidi","$45,500,000",1447,140,https://www.linkedin.com/in/saeedamidi,https://www.linkedin.com/in/saeedamidi
9d385b06-76b8-4bc8-b4c0-eff221ee7a2a,Polaris Partners,company,,Polaris Partners is an investment firm that invests in healthcare and biotechnology companies.,,https://www.polarispartners.com/portfolio/,https://www.polarispartners.com/portfolio/,"Boston, Massachusetts, United States","Boston, Massachusetts, United States","All VCs ,All VCs ,All VCs ,Most prolific investment firms (number of investments)",2026-02-15T19:35:14.892Z,Mirza Asceric,2026-02-15T20:39:03.739Z,Mirza Asceric,1996,"Jon Flint, Mark Jacobson, Steve Arnold, Terrance Mcguire","$4,500,000,000",658,167,,
0baef835-a603-48a0-84a2-838fad94cfe9,Qiming Venture Partners,company,,Qiming Venture Partners is a venture capital firm investing in Technology&Consumer and Healthcare industries at the early and growth stages.,,https://qimingvc.com/en,https://qimingvc.com/en,China,China,"All VCs ,All VCs ,All VCs ,Most prolific investment firms (number of investments)",2026-02-15T19:34:35.470Z,Mirza Asceric,2026-02-15T20:39:03.739Z,Mirza Asceric,2006,"Duane Kuang, Gary Rieschel","$11,500,000,000",777,68,,
89fe5d8f-7739-4d09-9680-63a05d6c928a,Redpoint Ventures,company,,,,https://www.redpoint.com/,https://www.redpoint.com/,"Menlo Park, California, United States","Menlo Park, California, United States","All VCs ,All VCs ,All VCs ,Most prolific investment firms (number of investments)",2026-02-15T19:34:42.771Z,Mirza Asceric,2026-02-15T20:39:03.739Z,Mirza Asceric,1999,"Brad Jones, Geoff Yang, John Walecka, Timothy Haley, Tom Dyal","$4,500,000,000",711,160,,
94a96450-dd84-4833-b349-512a3b31690c,RRE Ventures,company,,RRE Ventures is a Venture Capital Firm.,,https://rre.com/,https://rre.com/,"New York, New York, United States","New York, New York, United States","All VCs ,All VCs ,All VCs ,Most prolific investment firms (number of investments)",2026-02-15T19:34:53.675Z,Mirza Asceric,2026-02-15T20:39:03.739Z,Mirza Asceric,1994,"James Robinson, Jim Robinson, Stuart Ellman","$1,900,000,000",586,120,,
8d309bc4-166e-4955-8ffa-1ed85aaf9179,Salesforce Ventures,company,,Salesforce Ventures invests in enterprise tech to help companies connect with their customers in entirely new ways.,,https://www.salesforce.com/ventures/,https://www.salesforce.com/ventures/,"1 Market, San Francisco, CA 94105, US","1 Market, San Francisco, CA 94105, US","Corporate Venture Arms,Most prolific investment firms (number of investments)",2026-02-15T20:18:22.663Z,Mirza Asceric,2026-02-15T20:39:03.739Z,Mirza Asceric,2009,"Halsey Minor, Marc Benioff, Parker Harris","$5,000,000,000",665,128,,
bc828dab-7f9e-4920-b046-708975f6b57b,Seed Camp,company,,,,https://seedcamp.com,https://seedcamp.com,London,London,Most prolific investment firms (number of investments),2026-02-15T20:39:03.273Z,Mirza Asceric,2026-02-15T20:39:03.572Z,Mirza Asceric,2007,"Reshma Sohoni, Carlos Espinal","£78,000,000",612,159,https://www.linkedin.com/in/reshmasohoni,https://www.linkedin.com/in/reshmasohoni
